signum,transliteration,english
U 64 M,...--u[iþatrik + o]k [gio]kuif[r] þøn litu kiar mirki i(f)(t)ir ar-- -tur[æiþ] : [oæ]...,... ... ... they had the landmark made in memory of ... ... ...
U 65 $,... betær/betar · l-- ...,... Pétr had ...
U 66 $,... ...-r + au... ...,... ... and ...
U 67,... · sihatr : litu · r(a)... ...,... (and) Sighvatr had raised ...
U 68,... reisa + ste... ...,... the stone raised ...
U 69,raknilfR × lit × kirua × bru × þasi × iftiR × anunt + sun + s[i](n) [× k]uþan × kuþ ---bi × ons × ant × uk × salu × bitr × þan × on krþi × til × munu × iki × mirki × miRi × uirþa × muþiR × karþi × i(f)tiR × sun × sin × ainika ×,"Ragnelfr had this bridge made in memory of Ônundr, her good son. May God help his spirit and soul better than he deserved. No landmark will be more (great). The mother made in memory of her only son."
U 70 †,[× tiarfr ... ...sa + iftir × aist × sun sin + þurbirn × hiuk],"Djarfr ... this in memory of Eistr, his son. Þorbjôrn cut."
U 71 †,[...- : rit(a) : -... ... : uasu : s...],... erected ... ... ...
U 72,· kiarþar + auk · ioruntr · lata ' reisa · þisa · steina · eftir · systur·suni · sina · irnmunt : auk ' ikiunt ·,Gerðarr and Jôrundr have raised these stones in memory of their sister's sons Ernmundr and Ingimundr.
U 73,' þisun ' merki ' iru ' gar ' eftR ' suni ' ikur ' hon kam ' þeira × at arfi ' in þeir × brþr · kamu hnaa : at ' arfi × kiaþar b'reþr ' þir to i kirikium,"These landmarks are made in memory of Inga's sons. She came to inherit from them, but these brothers -- Gerðarr and his brothers -- came to inherit from her. They died in Greece."
U 74,+ biorn + let + resa + stein + þisa + if[t]R + be[rþur sin +] ...(s)tein + koþ hialbi ' ant hans + auk + kos moþiR uisti × risti,Bjôrn had this stone raised in memory of his brother ...-steinn. May God and God's mother help his spirit. Véseti carved.
U 75,: sihuiþr : lit : reisa : þina stein : eftR : faþur · sin · ehuiþ auk · moþu : sna · hulmfriþi : auk : iyfur·firþ,"Sigviðr had this stone raised in memory of his father Egviðr/Hegviðr and his mother Holmfríðr, and Jôfurfríðr (also raised)?"
U 76,· ...(b)i(o)... ... ...R + broþur ... ...kiþni ' a-...,...-bjôrn ... in memory of (his) brother ... ... ...
U 77 $,hulmstin × auk × haosui × litu × raisa istain × iftir × iybiurn × faþur sin × auk × kiriþ × ifti,"Holmsteinn and Hôsvi had the stone raised in memory of Jóbjôrn, their father; and Gyríðr(?) in memory of (him)."
U 78,[hasui · uk · siriþ · uk · ketilu · litu ·] raisa ' stain ' þina ' aftiR ['] hulmstain ' b[roþur · sin],"Hôsvi and Sigríðr and Ketiley had this stone raised in memory of Holmsteinn, their brother."
U 79 §A,· ky : auk : suain : þaiR : raitu : stain : at : birsu : faþur : sin : koþan · §B : ernfastr : iuk : s(t)ain : at : bersu : bot^ba : uikerþaR : sun : þorkerþaR : goþ ·,"Gýi and Sveinn, they raised the stone in memory of Bersa/Birsa, their good father. §B Ernfastr cut the stone in memory of Bersa/Birsa, Végerðr's husbandman, the good son of Þorgerðr."
U 80,× antuetr × auk + kerþar + litu × rista × runar × þisa × iftiR × suain × faþur sin × auk × katilui × iftiR × buanta sin +,"Andvéttr and Gerðarr had these runes carved in memory of Sveinn, their father; and Ketilvé in memory of her husbandman."
U 81,+ ermuntr,Ernmundr
U 82 $,[...-...] -it [rais(a) s...ain : þina : eftiR × hau... sin ·],... had this stone raised in memory of ... his
U 83,†$ [...],†$ ...
U 84,× -(s)kautr × lit × rai[sa × stai- -]... buenta -...,Ásgautr had the stone raised ... husbandman ...
U 85,biorn : auk : fuluik : þaiR : litu : hakua : stain · ... sin,"Bjôrn and Fullugi(?), they had the stone cut ... their"
U 86,× suain × lit × rista × runaR × eftiR × þorbiarn × bruþur × sin ×,"Sveinn had the runes carved in memory of Þorbjôrn, his brother."
U 87 †,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...
U 88,s(b)ialbuþi : ok : uni : li(t)u : raistu : stain : at · (t)iþkuma : ikiþoru,Spjallboði and Uni/Unni had the stone raised in memory of Tíðkumi (and) Ingiþóra.
U 89,· helka · ok · ulmfris · l--u · raisa · st-- · þi... ...- · ulfast · faþur ·· sen,"Helga and Holmfríðr had this stone raised in memory of Holmfastr, their father."
U 90,× uifiriR × lit × hkua × ili × þisa × eftiR × brþur × sin × þerf × auk × munti × at × mah × sin ×,Véfríðr had this rock-slab cut in memory of his brother Þerfr; and Mundi in memory of his kinsman-by-marriage.
U 91,funun[r] ok : kit:itf[riþ] ---u : rnisn : stnia : hlmstain : auk hulmi : isnistu : [im]in : a- frustin : [km]uai n iubn[r]t,Gunnvôr and Ketilfríðr had the stone raised. Holmsteinn and Holmi raised the stone in memory of Freysteinn ...
U 92,knutr ' i uik'husum ' lit ' stain ' rita ' uk ' bro ' kira · iftiR ' faþur uk · moþor · uk · bryþr · sina · uk · sustur,Knútr of Víkhús had the stone erected and the bridge made in memory of (his) father and (his) mother and his brothers and (his) sister.
U 93,†$ [' sRkuastr × auk × tasR × a... a-utr + þair × ltu + if-R þouR+staih +],"†$ Sigfastr and Tassi(?)/Dási(?) and Ônundr(?), they had (the stone raised) in memory of Þorsteinn."
U 94,--(l)ugi + ok kunar + litu + risa : stin + þina + iftiR + kiru + faþur ... ... halbi : hans ant,"Fullugi(?) and Gunnarr had this stone raised in memory of Geirrøðr(?), (their) father. ... May God help his spirit."
U 95 §A,... ...in + þinsa + ifti(R) ... ant hans §B þartunki,... this stone in memory of ... his spirit §B ...
U 96,× hulms[tain × auk × forku-r × --... ...ast × faþur × sin ×] kuþ hialbi × ant × hans ×,"Holmsteinn and Forkunnr ... ...-fastr, their father. May God help his spirit."
U 97 †,[hulmfriþ · lit · kara · mirki · iftiR ... om · kuihulfr · iftR · faþur · sin katil · iak · runaR ·],Holmfríðr had the landmark made in memory of ... and Kvígulfr in memory of his father. Ketill cut the runes.
U 98 †,[igiþur- : lit : raisa : stain : þina : eftiR : faþur : sin : syktrykR : auk : ragnfastr : sun : henaR : ragnar : hit : bruþiR : henaR :],"Ingiþóra had this stone raised in memory of her father Sigtryggr, and (so did) Ragnfastr, her son. Her brother was called Ragnarr."
U 99,afari × auk × þurkisl × litu × rista × runa × iftir × aursa × faþur sin × auk × iftir × uifara × bruþur sin ×,"Atfari and Þorgísl had the runes carved in memory of Haursi, their father, and in memory of Víðfari, their brother."
U 100,× guriþ × lit × raisa × stain × at · ulfkel × sun × sin × auk · kui · (a)... ... broþur · sin × auk × at × hulmtisi · sustur · sina ×,"Gyríðr had the stone raised in memory of Ulfkell, her son, and Gýi (did?) ... ... their brother, and in memory of Holmdís, their sister."
U 101,× henmikr × auk × iarlabaki × þaiR × litu × braut + ryþia × auk × broaR × kiara × eftiR × faþur × sin × auk × estriþ × eftiR suni × sina × inkifast × auk × inkuar + kuþ × hialbi × ant × þaiRa ×,"Hemingr and Jarlabanki, they had the path cleared and the bridges made in memory of their father; and Ástríðr in memory of her sons Ingifastr and Ingvarr. May God help their spirits."
U 102 $,kal|/kal|i| |lit/|l|it hkua heli þisa iftiR · suni sina toa · auk þau ikiþora · bR- (a)ina kiarþu mukit mirki furiR arkum mani,"Kál/Kali had this rock-slab cut in memory of his two sons, and he and Ingiþóra made one bridge -- a great landmark for many(?) men."
U 103,· suin · uk · kiti[lm](u)[t]r · u[k] · (i)rin[m]utr · þi[R] · (l)[i]tu · r[i]sa · (s)tin · þina · e(f)tiR · ti(þ)(k)uma · faþur sin,"Sveinn and Ketilmundr and Erinmundr, they had this stone raised in memory of Tíðkumi, their father."
U 104,' þorstin ' lit × kera ' merki ' ftiR ' suin ' faþur ' sin ' uk ' ftiR ' þori ' (b)roþur ' sin ' þiR ' huaru ' hut ' til ' k--ika ' (u)(k) ' iftiR ' inkiþuru ' moþur ' sin ' ybiR risti ',"Þorsteinn had the landmark made in memory of Sveinn, his father, and in memory of Þórir, his brother. They were abroad in Greece. And in memory of Ingiþóra, his mother. Œpir carved."
U 105 †,[...ati · hu(n)i · i...],... ... ...
U 106 $,...(u)n[ar] × auk × suain × raistu × st^ain × at × ton(u) × moþur ...,"Gunnarr and Sveinn raised the stone in memory of Tunna/Tonna, (their) mother ..."
U 107 §A,ke-lak- ' l-t ... ...tiR -emik ' -un sin ' auk ' iri-muntr §B ifte × hulmf-iþi × kunu × sina + au(k) × ifte × unu × totur,"Geirlakr(?) had ... in memory of Hemingr, his son; and Erinmundr §B in memory of Holmfríðr, his wife, and in memory of Una/Unna, (his) daughter."
U 108 $,· -ki au- · ikik(e)r · u- -krþiR · þu · litu · r-a · st[ain · i](f)[ti](R) · iu---- faþur sin · ku[þ] el(b)[i] ons · ot uk salu,"Ingi and Ingigerðr/Ingigeirr and ..., they had the stone raised in memory of ..., their father. May God help his spirit and soul."
U 109 †,[biarn auk suin litu rasa ... ...st faþur sin auk afti · sihtirf broþur sin],"Bjôrn and Sveinn had raised ... ...-fastr, their father, and in memory of Sigdjarfr, their brother."
U 110,... ...-tan × ift... ...,... the stone in memory of ...
U 111 †,[inku... ...k... ...u rista · runaR · iftiR · suain · auk ba... moþur],Ingvarr (and) ... had the runes carved in memory of Sveinn and ... mother.
U 112 §A,· rahnualtr · lit · rista · runar · efR · fastui · moþur · sina · onems · totR · to i · aiþi · kuþ hialbi · ant · hena · §B runa · rista · lit · rahnualtr · huar a × griklanti · uas · lis · forunki ·,"Ragnvaldr had the runes carved in memory of Fastvé, his mother, Ónæmr's daughter, (who) died in Eið. May God help her spirit. §B Ragnvaldr had the runes carved; (he) was in Greece, was commander of the retinue."
U 113 †,[× ra... ... stain × eftir × halfti... ...],... ... the stone in memory of Halfdan ...
U 114 $ §A,ikriþ ' l[i]t · laþbo · kiara ' auk · stain · haku[a eftir] ikim[a]r (b)(o)[ta s]in · auk · eftar · tan · auk · eftir · baka · suni · sina §B ' þaiR byku ' i rynby ' auk ' bo atu ' [kr]istr · ialbi ' s(a)(l)(u) · þai[r- ·] (þ)it skal ' at minum · mana ' miþan · min li[fa],"Ingríðr had the causeway made and the stone cut in memory of Ingimarr, her husbandman, and in memory of Danr, and in memory of Banki/Baggi(?), her sons. §B They lived in Runbýr and owned the estate. May Christ help their souls. That will (stand) in memory of the men while man lives."
U 115 $ §A,... finuiþr · sun · rahnfriþ · lit ... §B ...r · sum · hati · inkikiar · uk · t-... §C ... ...ir kuiks · uk · finui-... ...,"... Finnviðr, Ragnfríðr's son, had ... §B ... who owned (i.e., was married to) Ingigerðr and ... §C ... ... Kvikr's and Finnviðr's ..."
U 116 $ §P,tirui · risti · runar · auk · þorkar · þair · litu hkua · stain eftiR bryþr · sina §Q tirui · risti · runar · auk · þorkar · þair · litu hkua · stain eftiR bryþr · sina,"Tjôrvi carved the runes and (with) Þorgeirr, they had the stone cut in memory of their brothers. §Q Tjôrvi carved. Rúnarr ok Þorgeirr, they had the stone cut in memory of their brothers."
U 117,þorfastr ' uk · ikiluk ' litu ' raisa ' stain ' iftiR ' keRbiarn sun sin,"Þorfastr and Ingilaug had the stone raised in memory of Geirbjôrn, their son."
U 118,ragnfastr ' lit ' (r)[ai](s)a ' [stain · uk · bro · kara ' iftiR] emink ' faþ(u)[r ·] sin · an uaR ' sun ' rag[niltaR · in ·] ybiR [risti run]a[R],"Ragnfastr had the stone raised and the bridge made in memory of Hemingr, his father. He was Ragnhildr's son. And Œpir carved the runes."
U 119,' skagi ' lit ' raisa ' þina ' stein ' at ' faþur ' sin ' stin,Skagi/Skeggi had this stone raised in memory of his father Steinn.
U 120 $,...uitr/uitr : li(t) ... ... ...-i hiu,Andvéttr/Eyndr had ... ... ... cut(?).
U 121 $,eubern + ok × saen + þaiR × raistu × stain × eftiR × þorfriþ × boata × ikiþoru ·,"Jóbjôrn/Eybjôrn and Sveinn/Steinn/Seinn, they raised the stone in memory of Þorfrøðr, Ingiþóra's husbandman."
U 122 †,[...k · sirhun litu · raisa stain ... ...--f---... ...ro-... ybiR risi ru...],... had the stone raised ... ... ... Œpir carved the runes.
U 123 †,[: sikfastr : ok : ernfastr : þaiR : iuku : at : sik :],"Sigfastr and Ernfastr, they cut (the runes) in memory of themselves."
U 124,+ anutr + auk × þorkiRsl × þaiR × lRtu × rasa × stain × ifR + askaut +,"Ônundr and Þorgísl, they had the stone raised in memory of Ásgautr."
U 125 §A,suein × ... ...R × s-... §B ...-(u)ri × hiþ(a)...,Sveinn ... ... ... §B ... ...
U 126 $,[× furkuþr :] lit : (r)[isa : ---(n) : ...(k) : bru : þasi : efti : þurkar : sun : sin : auk : efti : hskis : kuþ : h(i)l(b)(i) --t : þisa : auk kus · mas : kuþ],"Forkunnr had the stone raised and this bridge (made) in memory of Þorgeirr, his son, and in memory of Ásgísl/Ásgeir. May God and God's good maid help their spirits."
U 127,× iarla×baki × lit raisa [×] staina × þasa at sik × kuikuan × auk bru þisa karþi × fur ont sina × auk × ain ati tabu ala-,"Jarlabanki had these stones raised in memory of himself while alive, and made this bridge for his spirit, and (he) alone owned all of Tábýr."
U 128,friþi ' uk ' ka... ...(k) ' sihatr ' ... ...aþur ' sin -...(n) sniris,Friði and ... and Sighvatr ... their father ... Snerrir's
U 129 $,(') laks ' lit ' rita ' stain ' aftiR ' k-... ...--bi si(a)l,Lax had the stone erected in memory of ... may help (his) soul.
U 130,biurn ' finuiþaR sun lit ' haukua ' hili þisa ' aftiR ulaif bruþur sin ' hon uarþ suikuin o f(i)(n)aiþi ' kuþ hialbi on hons ' iR þisi biR ' þaiRa uþal uk at(r)fi ' finuþaR suno| |o ilhiastaþum,"Bjôrn, Finnviðr's son, had this rock-slab cut in memory of Óleifr, his brother. He was betrayed at Finnheiðr. May God help his spirit. This estate is the allodial land and family inheritance of Finnviðr's sons at Elgjastaðir."
U 131,× þiakn × auk × tan × [lit]u × raisa × stain × aftiR × þorstain × faþur × sin × auk × kunuar aftiR × bonta × sin ×,"Þegn and Danr had the stone raised in memory of Þorsteinn, their father; and Gunnvôr in memory of her husbandman."
U 132 †,[... at : inkifast arf... ... ...li : risti :],"... in memory of Ingifastr, the heir ... ... carved."
U 133,+ kuþluk · lit ... ... ... ...a × sun · sin · auk · at · sik · sialfa · han · to · a lank·barþa·l--ti ·,"Guðlaug had the stones raised in memory of Holmi, her son, and in memory of herself. He died in Lombardy."
U 134 $ §A,[× kunar × ...] §B ... ...aisa · --... §A [... ...sti r-...],Gunnarr ... §B ... raise ... §A ... carved the runes(?)
U 135,× ikifastr × auk × austain × auk × suain × litu · raisa + staina þasa · at · austain faþur × sin × auk × bru × þasa karþu × auk × hauk þana ×,"Ingifastr and Eysteinn and Sveinn had these stones raised in memory of Eysteinn, their father, and made this bridge and this mound."
U 136 $,× astriþr × la(t) + raisa × staina × þasa × [a]t austain × buta sin × is × suti × iursalir auk antaþis ub i × kirkum,"Ástríðr had these stones raised in memory of Eysteinn, her husbandman, who attacked Jerusalem and met his end up in Greece."
U 137 $,· aystin · auk · astriþr · raistu · stina · aftir · kak · sun · sin ·,"Eysteinn and Ástríðr raised the stones in memory of Kagr(?)/Gagr(?), their son."
U 138 †,[... ...sa · stain · ift... ... ...k · ika · iftiR ...],... the stone raised in memory of ... and Inga in memory of ...
U 139,... ...sti ' ru... ... · hia(l)... ... hans,... carved the runes ... may help ... his
U 140,× ...la×b(a)... ... han : entaþis · i kirikium,Jarlabanki ... He met his end in Greece.
U 141,†$ [kuþluk × lit · raisa · staina · at · hulma · sun · sin · han · to · a · lank·barþa·lanti ×],"†$ Guðlaug had the stones raised in memory of Holmi, her son. He died in Lombardy."
U 142,ikifastr ' lit ' raisa ' stain · uk ' bro ' kera ' eftiR ' iarlabaka ' faþur ' s[in ' uk ' sun ' io]runa ' uk ' ketilau lit ' at ' bonta ' sin ybir risti,"Ingifastr had the stone raised and the bridge made in memory of Jarlabanki, his father, Jórunnr's son. And Ketiley had (it raised/made) in memory of her husbandman. Œpir carved."
U 143,× iurun × lit × kiara ×× broaR × iftiR × boanta ×× sen ×× auk ×× henminkr × auk × iarlabanki × eftiR × ink[i]fast × estriþ × iftR × inkuar × alkoþan × trenk,"Jórunnr had the bridges made in memory of her husbandman; and Hemingr and Jarlabanki in memory of Ingifastr; Ástríðr in memory of Ingvarr, an excellent valiant man."
U 144,+ kamal × auk × þurstain + auk × þurhils × litu × rista × runa × iftiR × biarn × faþur isnn × auk + iftiR × isikat × bruþur is- auk × hulmfriR iftiR buanta sin,"Gamall and Þorsteinn and Þorgísl had the runes carved in memory of Bjôrn, their father and in memory of Sighvatr, their brother; and Holmfríðr in memory of her husbandman."
U 145,þurkel × auk × fuluhi × litu × ahkua × eli ' þisa × auk × bru kia · eftiR stain × faþur sen × ulayifr iak,"Þorkell and Fullugi had this rock-slab cut and the bridge made in memory of Steinn, their father. Óleifr cut."
U 146 $,inkiberh lit ' haka ' heli ' uk ' bro kara ' iftiR ' holmstain ' (b)uanta ' sin ' uk ' iftiR ' þorstai- ' son sin þustains ' sona ÷ sin,"Ingibjôrg had the rock-slab cut and the bridge made in memory of Holmsteinn, her husbandman and in memory of Þorsteinn, her son. Þorsteinn's, her son's."
U 147 $,-(u)(r)(u)(n) ...(t)(r)... þaR × litu × hakua × staina × --ti- × iakif... -uk + inkuar,Jórunnr ... they had the stones cut in memory of Ingifastr and Ingvarr.
U 148 $,× inkifastr × lit × rista × runaR þisaR × aftiR × rahnfriþi × kuinu × sina × auk × -[m-](n)kr × aftiR × muþur × sina,"Ingifastr had these runes carved in memory of Ragnfríðr, his wife; and Hemingr in memory of his mother."
U 149 †,[iarlabaki × lit × -... ...tain × at · sialfan · sik · auk · braut ruþia],Jarlabanki had ... the stone in memory of himself and cleared a path.
U 150,[· iarla·b]aki · auk · fastui · litu · raisa · stina · aftiR [· suain · sun · sin],"Jarlabanki and Fastvé had the stones raised in memory of Sveinn, their son."
U 151,× þurbiarn × uk × ikiþura × litu × raisa × ist[ai]n × þina × iftiR × ikul × faþur sin × uk × irinui × iftiR × buanta sin × uk afti(R) ---,"Þorbjôrn and Ingiþóra had this stone raised in memory of Ígull, their father; and Erinvé in memory of her husbandman and in memory of ..."
U 152,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son."
U 153,...[(u)](a)i- × [(a)]uk × ulf- litu × raisa × stai-(a) × e(f)tiR × hlftan · auk · eftiR × kunar × bryþr × sina × þaiR · antaþus × aust... ...(u)m,"Sveinn and Ulfr had the stones raised in memory of Halfdan and in memory of Gunnarr, their brothers. They met their end in the east ..."
U 154,[þ(o)]...r × lit × rai... ... ...fast · auk × at × (k)aiRbiarn × bruþ- ... ...i(R) · (t)o a(u)s... ×,"... had raised ... ...-fastr and in memory of Geirbjôrn, (their) brothers ... They died in the east."
U 155 $,...n × auk × ulfr litu × rai(s)(a) sta... ... ... ...na × þaiR × uaru × suniR × arnar × auk × raknfriþar ×,Sveinn and Ulfr had the stones raised in memory of their brothers. They were the sons of Ôrn and Ragnfríðr.
U 156 $,× (h)-lmi × lit × ...,Holmi had ...
U 157 $,°,°
U 158,†$ [kalukR lit × risa × stn × þina × iftR × siba · boanta sin × koes...--... faþur · s¶in han fal · s... ¶ keþfrekr],"†$ <kalukR> had this stone raised in memory of Sibbi, her husbandman ... her father. He fell south(?) ..."
U 159,[× kismuntr · uk · himikr · litu ris]a · [stain] aftiR × faþur s[in × hlftan],Gísmundr and Hemingr had the stone raised in memory of their father Halfdan.
U 160,ulfkitil · uk · kui uk + uni + þiR × litu · rhisa × stin þina · iftiR · ulf · faþur · sin · kuþan on · buki · i skul(o)bri · kuþ · ilbi · ons · at · uk · salu · uk · kusþ muþiR · li anum lus · uk baratis,"Ulfketill and Gýi and Uni/Unni, they had this stone raised in memory of Ulfr, their good father. He lived in Skolhamarr. May God and God's mother help his spirit and soul; grant him light and paradise."
U 161,ulfR · iuk i barstam · iftiR · ulf · i skulobri · mak · sin · kuþan · ulfkil lit akua,"Ulfr of Báristaðir cut (the stone) in memory of Ulfr in Skolhamarr, his good kinsman-by-marriage. Ulfkell had (it) cut."
U 162 †,[krimbr · lit · ahka · stain uftiR · faþur · sin · uistain ulaifr · hok],Grímr had the stone cut in memory of his father Vésteinn. Óleifr cut.
U 163,k^lamal as^auk^a n^sa^u^kain^fa auk + farulfr + litu + rista × ili tfs^l'fR + þuri + R^ufa^kþ^au^mr^a s^lin × auk × kamal × iftiR × fusra sin f-str × iaRk,"Gamall and Sveinn and Farulfr had the rock-slab carved in memory of Þórir, their father; and Gamall in memory of his foster-father. ...-fastr cut."
U 164,× iarlabaki × lit × raisa × stain × þisa × at sik × kuikuan ×× auk bru × þisa × karþi × fur ont × sina × auk ain ati × alan × tabu × kuþ hialbi ont hans,"Jarlabanki had these stones raised in memory of himself while alive, and made this bridge for his spirit, and (he) alone owned all of Tábýr. May God help his spirit."
U 165,ia[r]labaki × li- ---sa × staina × þisa × at sik × kuikuan × auk bru þis(a) [× karþi fur ont ×] si-- --- × ati + (a)lan × tabu +,"Jarlabanki had these stones raised in memory of himself while alive, and made this bridge for his spirit ... owned all of Tábýr."
U 166,ku lit · rasa · kuþlauh · iftiR · sun · miuk · nutan · trik · mirki · þisa · an it · sihuastr ·,"Gýi and Guðlaug had these landmarks raised in memory of their son, a very capable valiant man. He was called Sigfastr."
U 167,× asur × lit × raisa × stain × a[t] × kuna × mak · sin × han × uas × broþiR × kuþlaukaR × fotr × risti × runaR × þasi ×,"Ôzurr had the stone raised in memory of Gunni, his kinsman-by-marriage. He was Guðlaug's brother. Fótr carved these runes."
U 168 †,[hu^lmstin ' ranfastr ' aystin · litu akua ' stain · at · fasta ' lusa · sin · -- þoru ybiR · iak],"Holmsteinn, Ragnfastr (and) Eysteinn had the stone cut in memory of Fasti, their and Þóra's freedman. Œpir cut."
U 169 $,ulmstin × i ruþi × urm-... ... ...(t)in × þina × iftiR × frustin × sun sin × uk + iftiR × uku + my sina ×,"Holmsteinn in Rjóðr (and) Orm-... ... this stone in memory of Freysteinn, their son and in memory of <uku>, their maid."
U 170 $,[: kuni · auk · as]a · litu · raisa · s[t-- þina · auk · hualf · iftiR · akn... ...un sin an] ... tauþr · i akru · an [-R · krafin · i · kirikiu·karþi · fastulfR · risti · ru]na(r) [· kuin · raisti · s]tainhal [þisa ·],"Gunni and Ása had this stone and the vault raised in memory of Agni(?), their son. He died in Eikra. He is buried in the churchyard. Fastulfr carved the runes. The wife(?)/Gunni(?) raised this stone-slab."
U 171,kuni · lit · akua · stain · þi-a · iftiR · aunt · sun · sin · kuþan · auk · if(t)(i)- · s(i)(k) · sialfan · fasti risti runaR,"Gunni had this stone cut in memory of Eyndr, his good son, and in memory of himself. Fasti carved the runes."
U 172,× kori × auk × inkaltr × au- ... ...[t]iR · biern : faþur × sin · kuþ i[a]... ...,"Kári(?) and Ingjaldr and ... in memory of Bjôrn, their father. May God help ..."
U 173,[s]kali ' auk ' sibi ' uk ' lifstain ' litu ' raisa ' stai[n ' ift]iR ' anuit ' faþur ' sin ' in ' kilauk ' at ' bonta ' sin,"Skalli and Sibbi and Hlífsteinn had the stone raised in memory of Andvéttr(?), their father; and Gillaug in memory of her husbandman."
U 174 †,[oka · uk · suin + auk × sifstain × litu × stain ...a... iftiR × kuik bruþur sin · an u-r · bruþru faþur kauki kauþuR],"<oka>... and Sveinn and Sigsteinn(?) had the stone ... in memory of Kvikr, their brother. He was ... ... ... ..."
U 175,[× a]su... ... stain × iftiR × uikink × faþur sin × auk × iftiR × toku m-þur sina ×,"Ás-... ... stone in memory of Víkingr, his father, and in memory of Tóka, his mother."
U 176,†$ [× kaiRtiarfr ' auk ' þorbiarn ' auk ' þurmuntr · raistu · stin · at · aebiarn · faþur sin],"†$ Geirdjarfr and Þorbjôrn and Þormundr raised the stone in memory of Eibjôrn, their father."
U 177,× inkiu × lit × raisa × stain × at × kerþar × f... ... sin × þaiR × tan × uaRu × suniR × kuls(u)--ns × fotr × risti × runaR ×,"Ingiey had the stone raised in memory of Gerðarr, her ... father. ... Danr, they were Kolsveinn's sons. Fótr carved the runes."
U 178,...R ' iun...,... ...
U 179,ioan ' uk lifstain ' litu ' raisa ' sta... ...a- ' h-... (f)aþur ' sin ybir ' rist,Jóhan and Hlífsteinn had the stone raised ... ... their father. Œpir carved.
U 180,+ sihatr · uk + þurbiorn + uk · þurkri(m) + uk · erinmontr '× litu × reisn + stein + aftiR + broþur + sin + sikstnin + hn to i uib(u)(r)kum,Sighvatr and Þorbjôrn and Þorgrímr and Erinmundr had the stone raised in memory of their brother Sigsteinn. He died in Véborg.
U 181 $,askutr ' uk ' suain ' ikifastr ' uk ' ikibiarn ' uk ' tutr ' ... ...ain ' iftiR ' est ' faþur ' sin ' in ' ubiR ' risti ' run,"Ásgautr and Sveinn (and) Ingifastr and Ingibjôrn and the daughters(?)/Dyntr(?) ... the stone in memory of Eistr, their father. And Œpir carved the runes."
U 182 $,[...-kuti · auk · ikifa...] ... [lit]u × raisa ' [stain · iftiR ...] ...ir... [...asntr...],...-goti and Ingifastr ... had the stone raised in memory of ... ... ...
U 183 $,... ...rki · eftiR · inkihualt · sun · si(n) ...-kun--...,"... landmark in memory of Ingivaldr, his son ..."
U 184,iaR ' likr ' huskarl,Here lies Húskarl.
U 185 $,... (u)k · run(f)(a)... ...har ' li... [...r ' as... ...-r ' h(a)...],... and Run-... ... ... ... ... ... ...
U 186,trani × uk × osbiarn þiR litu risa × stin × þina iftiR × iarkiR faþur sin kuþan,"Trani and Ásbjôrn, they had this stone raised in memory of Jargeirr, their good father."
U 187 †,°,°
U 188,sasi × is uk at × iarkiR,This is also in memory of Jargeirr.
U 189 †,[frustin × uk × kati × i × kuliki × þiR × litu × risa × stin × þana × uk × birsa × iftiR × kuikbiarn × faþur sin],"Freysteinn and Káti of Kœlingi and Bersa/Birsa, they had this stone raised in memory of Kvígbjôrn, their father."
U 190,× fastbiurn × lit rita × stain × iftiR mintil × faþurR sin,"Fastbjôrn had the stone erected in memory of Myndill, his father."
U 191 †,[× krukr × auk × tia... ... ...þurR sin k(u)...],Krókr and Djarfr ... their good father.
U 192,... uk × þurkrimr × -...,... and Þorgrímr ...
U 193,kuno auk inkialtr iluhi þoh litu ritu rita stin abtiR sihfasta buanta ku-u,"Gunna and Ingjaldr (and) Illugi, they had the stone erected in memory of Sigfasti, Gunna's husbandman."
U 194 $,al|/al|i| |li/|l|it raisa stain þino| |oftiR sik sialfan ' hon tuk| |knuts kialt a| |anklanti ' kuþ hialbi hons ant,Ál/Áli/Alli had this stone raised in memory of himself. He took Knútr's payment in England. May God help his spirit.
U 195,...- lit · raisa ' stain ' aftR ' ketilmunt ' uk ' aftR ' olaf ' sun -...,"... had the stone raised in memory of Ketilmundr and in memory of Ólafr(?), son ..."
U 196 †,[...unaR × sihmaraR],... Sigmarr's
U 197 †,°,°
U 198 §A,hulmf... §B ... ...(k) ' siriþ... ... §C ... · fi-... ... ----R ...n · sin ·,Holmf-... §B ... and Sigríðr ... §C ... ... ... in memory of their(?) son(?).
U 199,=U_235,=U_235
U 200,× finuiþr × risti stin þina × iftiR × bruþur sin × þurþr × þialfa × sun × kuþ halbi × at × hns × auk × kus × muþiR × hn × k×rþi bru × at bruþur sin auk osa muþiR þiRa,"Finnviðr raised this stone in memory of his brother Þórðr, Þjalfi's son. May God and God's mother help his spirit. He made the bridge in memory of his brother and (so did) Ása, their mother."
