Sample_ID,Source,Reference,Target_Language,gemma2:2b_translation
11,§A þurstin × uk × ragnfriR × þu (r)(i)stu × stin × þina × iftiR × (b)iur[n] × i krnbu,"§A Þorsteinn and Ragnfríðr, they raised this stone in memory of Bjǫrn in Granbýr, §B Kalfr's brother. Vígmundr slaughtered him. May God help his spirit and soul better than he deserved.",de,Der Sturm wird sie nicht stoppen.
12,[... uaR * tauþr × i austr*uih- ...],... died on the eastern route ...,de,...aus der Ferne
13,§A (b)isi * sati : st[(n)] : þisi : iftiR : þurkut : u----þi : faþur,"§A Bisi placed this stone in memory of Þorgautr ... his father. §B And Gunna, both. Thistle, mistletoe, casket.",de,**Sati des Vaters**
14,× orikia × auk × ikul × litu × raisa × stain × ... ...biurn × faþur sin ×,"Órœkja and Ígull had the stone raised ... ...-bjǫrn, their father.",de,Verborgenen Ort der Macht
15,...(a)lui : lit * kira : kubl : ifti... ... burþur : ulfs * þiR * a(u)... ... (m)iþ * ikuari : o : sirk*la(t)...,...-vé had the monument made in memory of ... Ulfr's brother. They in / to the east ... with Ingvarr in Serkland.,de,(a)lui : lit * kira : kubl : ifti... ... burþur : ulfs * þiR * a(u)... ... (m)iþ * ikuari : o : sirk*la(t)
16,* þurkiR : resþi : kuml : þusi : eftiR : onut : konb : faþur : sin :,"Þorgeirr raised these monuments in memory of Ônundr Moustache, his father.",de,Turker: Resti: Kuml: Thusi: Eftir: Onut: Konb: Faþur: Sin
17,§A + tak ' hiR krist * (e)yratr * hafir * kart ' klukhera * sun ' amen,"§A Thank-you(?), Lord(?) Christ. Eyrhvatr(?) has made, son of the organist. Amen. §B Jubilant.",de,"Sagen, dass sie wissen,"
18,§A (m)a(l)(i) : es : a : s(t)ain(i) : þesu(m) : a- ...,"§A The agreement on this stone is, that ... §B half of the warping-line lie to ... §C as property and as allodial land ... ...",de,"Sache von dem, was du getan hast."
19,§A + esse krucem tomini fugite pa=rtes atu=erse : uicit leo * de tribu iuta ratiks ta=uit,"§A Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. §B Four letters on the forehead-plate that Aaron bore on his forehead, Jesus Christ. §C Mark, Matthew, Luke, John. §D Tetragrammaton. Alpha and Omega.",de,"Es tut mir leid, ich kann keine Texte übersetzen, die Inhalte oder Informationen enthalten, die auf Sex, Gewalt oder Missbrauch verweisen."
20,* ali : lakþi : stin : þasi : uftiR : uþu : kunu : s... ...u : harþa : kuþa,"Áli/Alli laid this stone in memory of Auða, his wife ... very good.",de,Liebe : die :  ist :  für :  der :  die :  hart :  die
21,§P [katil × risti × sten × efti sin broþur : nahhar stens su- +],"Ketill raised the stone in memory of his brother Nagr(?), Harðsteinn's son.",de,"Söhn, der jüngere, der älterer Bruder, der ist nah und vertraut."
22,...[r + kiarþi + kuml + þasi ·] -ftiR + kum... ...-a...-...[n +] ¶ ...----------…,... made these monuments in memory of Gummi(?) ... …,de,... [R + Kiareth + Kuml + Thasi ·] -ftiR + kum... ...-a...-...[n +] ¶ ...----------…
23,tu-iR : resþi : sta... ... unþik : bru-ur : sin :,"Tólir/Dóttir raised the stone ... Óníðingr, his/her brother.",de,Tut unsichtbar: Resch-in: Stark - unfähig: Bring-en-uns
24,iþinui ' uk ' austain ' uk ' ulfr ' uk * ol(a)[fr * litu * raisa * s]tain * iftiR hal(f)tan faþur sin,"Heðinvé and Eysteinn and Ulfr and Ólafr had the stone raised in memory of Halfdan, their father.",de,"Sie sind allein, Vater."
25,h[outi]an [* auk * asur * þair * litu *] (r)aisa * merki * þisa * at [*] (u)l[f] * faþur * sin *,"<houtian> and Ôzurr, they had these landmarks raised in memory of Ulfr, their father.",de,ausgesprochen
26,§A kruhs markus (s)u--io-(b) ¶ --(u)(h)(s) (m)aþ(e)(u)s -- §B (k)ruhs iohanæs ¶ (k)ruhs (l)(u)k-- --,"§A Crux, Marcus, ... crux, Matthæus, ... §B crux, Johannes, crux, Lucas …",de,§A kruhs markus (s)u--io-(b) ¶ --(u)(h)(s) (m)aþ(e)(u)s -- §B (k)ruhs iohanæs ¶ (k)ruhs (l)(u)k--
27,rehinmoþ : læt * gæra : hualf : ifir * gunnar : æsbeorna=r * so=n : ¶ {HARALDVS : ME : FECIT : MAHISTER ¶ REGINMOT * LET * GERA * HVALF :¶ IFIR : GVNNAR : ESBEORNAR : SON},Reginmóð had the vault made over Gunnarr Ásbjǫrn's son. {Haraldus me fecit magister. Reginmóð had the vault made over Gunnarr Ásbjǫrn's son.},de,Harald hat es vom König gemacht.
28,[biriki ÷ birita ÷ batar ÷ ok ÷ akhi ÷ kyrþi kirkuh ÷ asur ÷ ok ÷ skuli ÷ ok ÷ þorþr ÷ ok ÷ ku=nar ÷ i siua---sta ÷],May Birita save (us). Pétr and Áki made the church. Ôzurr and Skúli and Þórðr and Gunnarr in Sigvaldstaðir.,de,Bär mit der Reise in das Land der Sonne
29,k-na : let : legia : st¶in : þensi : auk : tuki :,Ginna(?)/Gína(?) had this stone laid and (i.e. with) Tóki.,de,Knie-Knie-Legen-Steinen-Tüden-Augen-Tuch-
30,þo=rir * ræist * runa=r * þessa=r * þan * olaus*mess*o=æpþa=n ¶ ...r han * fo=r * he=r um ¶ ÷ bæþe= =ge=rþo= =no=(r)ne=r * uæl * o=k * il=la * mikla * møþe ¶ g skapaþu * þær mer,"Þórir carved these runes on the eve of Olaus-mass, when he travelled past here. The norns did both good and evil, great toil ... they created for me.",de,...er hat sie für sie um ...
31,d	e	g	g	p	c|z	?	?	?,d	e	g	g	p	c/z	?	?	?,de,"Dinge, Ende, Götzen, Götzen, Plan, Zentrum,"
32,§A ...r × ok × e...,§A ... and ... §B ...,de,Schaffung ...
33,[sihtia]rf ' auk humbiurn ' [auk þur](b)iurn ' þiR lit[u] r[i](t)a stin þino auk b[ru * kira at iu]n faþur * [sin],"Sigdjarfr and Holmbjǫrn and Þorbjǫrn, they had this stone erected and the bridge made in memory of Jón, their father.",de,"Sehnsucht, um diese Kraft zu haben."
34,[hulRstan : lit : kera : mer-... ...lf sun sin *],Holmsteinn had the landmark made ... his son.,de,"Heill, Kraft, Erleuchtung, Weisheit, Sonne"
35,riuiþr : risiþ : sti : þasi : auftiR : kirm : su : sin : miuk : kuþan : trik :,"<riuiþr> raised this stone in memory of Grímr, his son, a very good valiant man.",de,"Ruch, Reich, Stolz, Kraft, Gefahr, Treu, Glück, Freiheit, Sieg, Frieden, Wandel"
36,[(n)...i...iukaR : auk : biorn : auk : farulfi : þiR : litu : risa : stan : aftiR * aka : faþur : sin * hat : uaR : uskul * þik : þRa *],"... and Bjǫrn and Farulfr, they had the stone raised in memory of Áki, their father. He was ...",de,(N)i)i)u)kaR :  auch :  geboren : auch :  fern :  der :  er :  ist :  an :  ein :  nach :  aftir *  der :  vater :  sin :  hat :  aus :  uskul :  der :  dort
37,...-ta : bain : uas * (i)-(u)--...,This bone was ...,de,...Tief. Gefahr.
38,+ uibaurn + risti + stin + þasa + aftiR + þurkiR + bruþur + sin,"Vébjǫrn raised this stone in memory of Þorgeirr, his brother.",de,+Wunder +Reihe +Schlacht +Wunder +Nachfolger +Krieger +Bruder +Wunder
39,[kalukR lit × risa × stn × þina × iftR × siba · boanta sin × koes...--... faþur · s¶in han fal · s... ¶ keþfrekr],"<kalukR> had this stone raised in memory of Sibbi, her husbandman ... her father. He fell south(?) …",de,"Die Wahrheit, die die Nacht erträgt"
40,Side A ...(k)hniistmlR Side B n,[fuþor]khn[ia]s[tb]lmR …,de,Seite A ...(k)hniistmlR Seite B n
41,§A f... ¶ ...ku-... ¶ ...-kas--... ¶ ...-kh--...,§A ... ... ... ... §B ...,de,"Sie wissen, was?"
42,hake ÷ beanar÷sun ÷ a mik ÷ suæn ÷ os-(u)-dar÷sun ÷ slo ÷ mik ÷ osofar ÷ ræs÷t ÷ mik ÷ auk ÷ læiste ÷ oþesndhen ÷ nesta ÷ eptir ÷ olafs÷foku ÷ a seta ÷ are ÷ rikes ÷ f(o)s ÷ firþulhs ÷ hæra ÷ mahnusar ÷ norihs ÷ konohs,"Haki Bjǫrn's son owns me, Sveinn Ásmundr's son hammered me, Ásulfr carved and read me on the first Wednesday after Ólafr's-vigil in the sixth year of the reign of our worthy Sire Magnús, King of Norway.",de,Hak die Bären Sonne am Mik Suen Os-U-Dar-Sun Slo Mik Osfar Rats-T Mik Auk Læiste Oþesndhen Nesta Eptir Olafsfoku A Seta Are Riks F(o)s Firþulhs Hær Mahnusar Norihs Konohs
43,birla : sati : ... | ... : iftiR : tuka | mak : sin …,"Birla placed (this stone?) in memory of Tóki, his/her kinsman-by-marriage.",de,Geliebt :  bekannt : … | … :  verwirklicht :  … |  … :  verwendet
44,× fastbiurn × lit rita × stain × iftiR mintil × faþurR sin,"Fastbjǫrn had the stone erected in memory of Myndill, his father.",de,Unbekanntes Ziel
45,[anuntr ' uk ' þorbiarn ' li-u * rita sitn yftiR * katelmunt * bruþur],"Ǫnundr and Þorbjǫrn had the stone erected in memory of Ketilmundr, (their) brother.",de,Anwender '  stille  '  verheiratet
46,stein * þænnna * gærðe * ¶ botolfr * steinmeist=aræ,Bótulfr the stonemaster made this stone.,de,Steiner Steinmeist
47,bosi : tlhi ¶ kirki ¶ bosi : ta=lh`þ´i sten ¶ til skatma ¶ kirkiu,Bósi shaped the church. Bósi shaped the stone for the church of the inhabitants of Skatelöv.,de,Behörde:
48,[+ hkir : rullis : raneulfr : sniaual... ...],Here rests(?) Randulfr(?) Snjóvaldr's ...,de,[+ heiliger: Rüstler: Wanderer:  Geheimnisse...]
49,§P kuþbirn : uti : þaiR r(a)isþu : stan þansi : at : kuþmar : f(a)þur : sin : stuþ : triki:l(a) : i · stafn skibi : likR uistarla uf huln sar tu :,"§P Guðbjǫrn (and) Oddi, they raised this stone in memory of Guðmarr, their father. He who died stood valiantly in the staff of the ship; (now) lies inhumed in the west. §Q Guðbjǫrn (and) Oddi, they raised this stone in memory of Guðmarr, their father. Stood valiantly in the staff of the ship; lies inhumed in the west, ...",de,§P kuþbirn : uti : þaiR r(a)isþu : stan þansi : at : kuþmar : f(a)þur : sin : stuþ : triki:l(a) : i · stafn skibi : likR uistarla uf huln sar tu :
50,[(u)tar : auk : -... ... ...þis : a=ustr × ...uk-ma],Óttarr and ... ... met his end in the east ...,de,(u)tar : auk : -... ... ...þis : a=ustr × ...uk-ma
51,[asfriþ --- hakua × stan × at × tierf * sun * sin * nasi * at * broþur * sin likbiarn hiak + merki],"Ásfríðr had the stone cut in memory of Djarfr, her son; Nasi/Nesi in memory of his brother. Líkbjǫrn cut the landmark.",de,"Freunde,"
52,§A d=um * das : ka=rus * e=ris : da=re : des--,"§A As long as you give, you will be held dear; if you abandon giving, §B you will be despised.",de,"Sehnsucht um das, das kauert, das erlist, das ergibt, das ist."
53,§A · anut · ... ...-n · sin · uk ifti(R) ... ...þa ·,ENG: Ônundr ... his son and in memory of ... ... his => §A Ônundr ... his son and in memory of ... ... §B ... …,de,Sagen.
54,[isifara · auk · k... ... ...-r · sin · hon tu i krikum],<isifara> and ... ... their … He died in Greece.,de,Flucht vor der Gewalt
55,§A ... ¶ ... ¶ ... ¶ ...,§A ... ... ... ... §B ... ... ...,de,Sagen.
56,§A ... ...ina : ok (l)... (þ)ena,§A ... stones and ... this §B had made ...,de,Sagen ...  in der Mitte: okay (l) ... (þ)ena
57,-ikfastr : ak × une... ... ...a × eftiR × iluka × fþu... ...,"Sigfastr and Ónæmr ... ... in memory of Illugi, (their) father …",de,Ich weiß nicht.
58,[turi : sati : stin : þonsi : aftir : askut : bruþur : sin : iar : barþi : iattin : þikra : i : iatustun : auk : brunia : fik : harþa : kuþan *],"Dýri(?) placed this stone in memory of Ásgautr, his brother, who lived(?) in Jǫtunstaðir(?) and Brúni, a very good valiant man.(?)",de,"Schildkröte: Sonne, Sohn, Bruder:  Freunde,  die  Freundschaft,  die  Freiheit"
59,× þorkis[l] -uk × þorstin auk × uibiarn × auk × olifr × --tu × raisa × stin × eftiR × þorbiarn × faþur × sin,"Þorgísl and Þorsteinn and Vébjǫrn and Óleifr had the stone raised in memory of Þorbjǫrn, their father.",de,"Erzähl mir, was du willst."
60,+ suain + auk + biarn × auk × ikulfastr × litu × raisa × stin × eftiR × ikul × faþur × sin ×,"Sveinn and Bjǫrn and Ígulfastr had the stone raised in memory of Ígull, their father.",de,+ Sohn  + Vater  +  Erster  +  Erfinder  +  Wunder  +  Stärke  +  Feiertag  +  Erster  +  Erfinder  +  Wunder
61,...--- × lagþu × s... …,... laid the stone ...,de,...--- × lagþu × s...
62,a=u=æ ÷ maria ÷ iæssus + {ANNO : DOMINI : MO : CCCO : XLO : QUINTO : DECIMO : SEPTIMO : KLAS : AUGUSTI : CURATO : ECCLEIE : DOMINO : OLAUO : TUTORIBUS : ECCLEIE : GEDSTAUO : ET : NICHOLAO : HAQUINUS : FUDIT : HANC : CAMPANAM : MAGNO : REGE : SUECIE : DNO : SIGGONE : EPISCOPI : SCARENSI} : +,Ave Maria Jesus. {Anno domini millesimo trecentesimo sexagesimo quinto decimo septimo kalendas augusti curato ecclesiae domino Olauo tutoribus ecclesiae Gedstauo et Nicholao Haquinus fudit hanc campanam Magno rege Sueciae domino Siggone episcopo Scarensi.},de,"Maria, die iacth, {ANNO : DOMINI : MO : CCCO : XLO : QUINTO : DECIMO : SEPTIMO : KLAS : AUGUSTI : CURATO : ECCLEIE : DOMINO : OLAUO : TUTORIBUS : ECCLEIE : GEDSTAUO : ET : NICHOLAO : HAQUINUS : FUDIT : HANC : CAMPANAM : MAGNO : REGE : SUECIE : DNO : SIGGONE : EPISCOPI : SCARENSI} : +"
63,§A -uki : os^a : b : r^aisþ^a : u^ar : aft : -^t-a^þ : -(i)- : nafis §B : þo : is : o(s)(i) : --- : þ^aþa^n : (a)(u)- -u^a : staina : þisa : -----,§A ... §B …,de,Sektor-Uki: Ost-As: B: Raist-A: Uhr: Af-t: -T-A-þ: -(i)-: Nafis: Sektor-B: Tho: I: Os-I: ---:  Tha-An: (A)-U: -U: Staina: Thisa: ---
64,... : þensa : iftir : eskil : (b)(r)-(þ)... …,"... this in memory of Áskell, brother …",de,... :  Sehen : nach : es : (b)(r)-(þ)...
65,+ BONDO FRISO ME FECIT | ESGERVS RØTH ME FECIT : FIERI | fuþorkhniastblmy---,"Bondo (the) Frisian made me, Esgervs Red had me made. Golden numbers.",de,+ Bodo Friso hat mich gemacht | Er verschönert mich | Fiert |  fuþorkhniastblmy---
66,...-m : bruþ(i)m : ...(a)im : raist- : kumbl : þitsi : (a)-... | ... (u)k : afteR : as--l : bruþuR : sin : guþ : hi…,"... Bróðir, they raised this monument ... and in memory of Áskell, their brother. God help …",de,...m : Bruder : ...(a)i : raist- : kumbl : þitsi : (a)-... | ... (u)k : nach : as--l : Bruder : sin : Gut : hi…
67,osfriþr : risþi : stin : þonsi : eftiR : osgiR : hrþa : kuþan : trek : buta * sin,"Ásfríðr raised this stone in memory of Ásgeirr, her husbandman, a very good valiant man.",de,Freudenstrahl :  Glücklich :  Stark :  Erfolg :  Erfolgreich :  Heimat :  Wanderer :  Glückliche :  Glück
68,Side A : tuki : r-... : br--... Side B ...-s-…,Tōki …,de,Seite A:  Tuki : r-... : br--... Seite B ...-s-…
69,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,de,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.
70,§A ...þi---- (+) -ftir + foþur (:) sin (:) þurbio-...,§A ... in memory of his father Þorbjǫrn. §B ...,de,Sie sind im Land der Sonne geboren.
71,þtæ : ska^rfa^þi : ulæf : fa^rby^nsun,Olafr/Oleifr Farbjǫrnsson joined this together.,de,Das ist ein schwieriges Rätsel.
