Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
79,[huitr ok| |karl ouk ulf l...u ...ris...],Hvítr and Karl and Ulfr(?) had ...,en,"[King's] King of Ulfs' and Lars'... (the original text seems to be corrupted or missing characters, but the structure suggests a title)",Eight and three and four... and six... and two... and seven... and nine.,The eight men and Wolf's son... are here...,whitely and Karl also wolf's...ri...s...]
80,$M ... ...r øssur : asbiæ?na^r s^on(·),$M ... rests/in memory(?) of Ôssurr Ásbjôrn's son.,en,M ... r øssur: aśbæṇa-r sōn (•),Man ... r ossur: ásbíarnar sönn,My sons: my heirs,M... r øssur : asbiærnað son
81,: asmuhtr : auk : fraybiurn · litu kera : meki · siRun · at · herbiurn · faþur : sin :,"Ásmundr and Freybjôrn had the rune-decorated landmark made in memory of Herbjôrn, their father.",en,Ashmutr means to cut or shave; Auk is a place name (likely in Icelandic); Fraybiurn refers to the year 1049. Lütu kera means he has lived until this point. Sima Ruin implies the site of Sima Ruin. At herbiurn means she died at this time; Faþur means father or grandfather.,smahtr: auk: frayburn·litu kera: meki:srun·at·herbiurn·fæthor:sin:,Asmundr: And Freybjorn: he let kill him while still his father's son!,"Asmundr went with Freybjorn and looked at a ram; he was big, strong, and his father's son."
82,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,"A sun, an eye: light is stained: to the one's heart: after a day: of all things (but) in hand: that is: from the man: and the sun: to the sky: which is: the earth.",tar light: rise: stain: thinker's: still: R: kerthaufe: father: son: boot: coat: 'kut: heal: has: ants.,bright: raised: stain: thought: after: helmet-head: father: son: to bend: to sing ' sang: soul-body: heat: between,Tar lit: raise: stain: þensa: after: kettle-cap: father: sink: boats: know: 'known: help: has: end
83,[aimuntr : let ... ... (k)uþ salu · ha...],Eimundr had ... May God help his soul.,en,In short... well... I have it here...,To aim: to let... that shall sail with them; here...,"Aimunit: Let... ... thou hearth - house... [Note: This is a transliterated fragment from Old Norse/Runic text. ""Aimunit"" may be a proper name or variant reading of the opening formula, often associated with the poem *Hyndluvísa* or similar riddles involving ""let me..."". The literal translation based on the provided characters is given below.]",Aimund: let... know the hall... hail...
84,sua ai ÷ titultitul ¶ fuþorkhniastbmlR §B huaR is i : alisti osa : huaR is (:) ¶ uifrþuR : karþi : afr aft asini fauþr ¶ kul:finR : fal(s) : taitirunoR ' u ¶ (a)iuinrunoR : sulialta : huaR : ? ¶ utu ÷ tuuut bilikikR : tuR ra(k)(i) ¶ (t)(u)(l)i,"Thus ever(?) ... <fuþorkhniastbmlR> §B Who is(?) ... ... Æsir's, who is Véfriðr /Véfrøðr made ... in memory of ... father. Kolfinnr/Gullfinnr concealed runes of gladness and runes of eternal friendship ... who ... ... ... ... ... ... Tuli/Tóli.",en,The great King of the realm is named: Is this a good name? Who has come to my aid?,"his eye was on his own, and he saw all in the world: a king, an ambassador, a priest, a lord, and others; but he did not know what he saw, whether it was a god or an angel, nor could he find the way to them.",Sua ai titultitul fuþorkhniastbmlR. huaR is i alisti osa: huaR is uifrþuR karþi afr aft asini fauþr kul:finR fal(s): taitirunoR ' u (a)iuinrunoR sulialta huaR ? utu tuuut bilikikR tuR ra(k)(i) (t)(u)(l)i,"The rune sequence and text appear to be a garbled or nonsensical mix of Old Norse runes and Latin script rather than coherent prose. The text does not translate into meaningful English sentences but reads as: ""sua ai ÷ titultitul ¶ fuþorkhniastbmlR §B huaR is i : alisti osa : huaR is (:) ¶ uifrþuR : karþi : afr aft asini fauþr ¶ kul:finR : fal(s) : taitirunoR ' u ¶ (a)iuinrunoR : sulialta : huaR : ? ¶ utu ÷ tuuut bilikikR : tuR ra(k)(i) ¶ (t)(u)(l)i""."
85,× [ul]fr [× a... ... -nk]imunt[r × au]k × [ai]... ... ...(n) × i... ...,Ulfr and ... Ingimundr and Ei-... ... the stone(?) in memory of(?) ...,en,"E-krum-kur: The Old Norse transliteration is ""E-krum-kur,"" meaning the E-Crum-Kur region, which was a medieval settlement in northern Norway. In the source text provided, it appears as `× [ul]fr [× a... ... -nk]imunt[r × au]k × [ai]... ... ...(n) × i... ...`. This looks like an artifact or encoded form representing that place name, likely derived from Latin names given to early settlers in the area or recorded with transliteration errors. The specific characters and sequence suggest a phonetic representation of ""Er-Krum"" or similar Germanic loanwords adapted into Old Norse orthography, pointing toward the settlement of Er-Krum (or possibly an archaic form like E-Gram or related to the Swedish region's earlier names). Without further context in your dataset, this remains the direct translation of the provided string.","the day of the month in the third year from your father's side, with you on one hand and the other.","From all winds and seas, you shall be called",unlawful and unprofitable
86,akuti + auk + osur + auk × biaurn × rastu × stain × (þ)[ina × afti](r) × nuka × trihk + kuþan ×,"Ágoti and Ôzurr and Bjôrn raised this stone in memory of Nokki, a good valiant man.",en,"The king, the son of the king, of the people whom the lord of land shall not be, or, in other words, a man who is not related to any prince by blood.","to attack to one who attacks to the sea in which a raven roams by an east wind in a boat, a threefold cupbearer",And there went out a horn to warn them of their coming doom.,"sharp and harsh and rough and by a beast's rest, the stone [its] after-(time), now, and truth."
87,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,"andres: *p* + *farmaðr* (meaning ""to produce milk"" in Old Norse)",andré: p + farmarðr +,Andres: a+farmad,Andrew's: priest and
88,hulmstain · auk · uikuþr · þaun · litu · raisa · stain · eftiR · sun · henaR · auk · uihialmr iftiR inkifast ·,"Holmsteinn and Végunnr, they had the stone raised in memory of her son, and Véhjalmr/Víghjalmr in memory of Ingifastr.",en,"The hall of Stain in the air, by the light of Raen-Auk, by the sun, and before Inkifast.",Humlstein · auk · uiquthar · than · lita · raisa · staun · eftir · sun · henna · auk · uihialmur · iftir · inkifast,"The stone hill, and, the dark one· thaton· light· raised· stone· after· the sun· heaven· and· dark shadow ift· inkfast·","Helmstein and Wicker then lit a fire on the stone, and afterwards the Sun and Henar as well as Wicker afterwards again spoke."
89,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...,en,"The Rimar means ""to run"". The transliteration shows this meaning for the first person singular masculine pronoun *ritun*.",... ... -rimr : liti : r ... ... si n x,... ... -rims: light: red ... your x,... rimmar looked at r... ... his x
90,asm(u)(t)(r) · auk · þeR · bruþr · restu · sten · þani · eftiR · sarta · faþur · sia ·,"Ásmundr and his brothers raised this stone in memory of Svarti, their father.",en,aust [st] in a man; he that is a man; of the lord.,smoth (s)th (x) · auk · Þer · bruðr · rest · stén · þáni · efitó · sor·tae · fáður · saga.,"brother (sister), brother, the brothers and sisters, all of them, are the father's children.",Asmund and his brothers remained as stone before the father and sea.
91,+ sinkR : let --... ... ... eftiR : friþelfi : kunu : sina : kuþ hialbi : sialu [h]inaR,"Sínkr had ... ... ... in memory of Friðelf, his wife. May God help her soul.",en,Let: ... . . . Friðelf: kunná sinu: Kūth háleinu: sīalu [ʃ]ínara,to: Let... afterwards: Frethelfa: to know their home and hear it's own house: hear it is a good thing.,Let peace upon thy own soul forever.,sink: let... after: friendship know: their known help: self[one] her/it
92,tuki : ri(s)-- ¶ -tin : þansi : ift ¶ þurstin : sin ¶ -(r)uþur : nuk ¶ igi : sin : faþu-,"Tóki raised this stone in memory of Þorsteinn, his brother, and Ingi, his father.",en,tiki: -ri (s) - tin: pantis: ilt: -rushin: sinqo (s)--(r)tun (n): niðni: sin: faþum,Took: rid-s-¶-thin: pentsing-¶ pestered: sin-¶-(r)rhuður: nug-ingi: sin: foth.,the desire: thus: if thirsty: so (thirsty): hunger: and the,tuki : ri(s)-- ¶ -tin : þansi : ift ¶ þurstin : sin ¶ -(r)uþur : nuk ¶ igi : sin : faþu-
93,ma^ria : mika(l) ¶ a mik br(i)kil ¶ torir §Q ma^ria : mika(i) ¶ a mik brakil ¶ torir,"Mary, Mikjáll owns me, Brigit(?). Þórir. §Q Mary, Mikjáll! Brakil/Brigit owns me. Þórir.",en,Maoria: Mikáa; Maikiáar; Mákiáa; Mikiáa; Tíra.,Mariam: Mika (L) ¶ A Mik Br(k)il ¶ Torir §Q Mariam: Mika (i) ¶ A Mik Brakil ¶ Torir,Mary: Michael; very mighty! Tori; Mary: Michael; very powerful; Tori,Maria: my (small) one [?] by me breaks [?] the waves Maria: my (small) one by me breaks the waves
94,(k)iæte guþ þes er k o^(l)ma^þa,May God protect him whom I enraged.,en,In this house is my mother.,To eat is our doom,Let God's glory shine in you forever.,Praise to God of this which is called the
95,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,I am in your debt!,kjar... ... (f)äthr sin fur f'hila hn t'il iklan ku' hal bi sil hns,"his father shall pay him for his horse to a king's daughter, half of it to my master, and the other half to himself.","couth... (his) father who was a dwarf, healed him to become a giant; the couth healer of his kind."
96,$M ÷ bo--- : oka...-...s(a)rfa : h-- : l-t : (h)-ga : hina : stan : yvir : (b)udaitu : af hah:h-b- k : til : aukarsarfa + ta en : iak : uar · (s)krivaþ : (t)a uar : (h)ahal · sunudah:r · untir-aþr : b-imstafr ++ i tolf:te : r(a)(d)(u) taflu + betar · aukar·sarfa · han skr-if mik · amen ·,"$M Bót-... Auðgeirsarfr/Ocksarve(?) he/she had this stone cut over Bótheiðr(?) of Hagebýr and (owner of) Auðgeirsarfr/Ocksarve. When I was written, then Hail was the Sunday(-stave); Under-Man the Prime-stave in the twelfth row of the table. Pétar of Auðgeirsarfr/Ocksarve, he wrote me. Amen.",en,The word is the same as in English.,"I, M, of the blood, hear the word... (s)hearing and hearing... it is... (h)-giving life: to them who are of the household of Odin: who live there and over him: a budaitu: for hah: h-b-king: until kings and gods have scribed (b-imsta): taflus + betar: kings, gods, (s)cribe and hear: I am (h)-hal: sunudah: r(a)(d)(u): untir-aþr: b-imstafr + i tolf: te: (t)aflu: hain.","I have come down from above, the sky. (a)h-h-b-r : til : auksars-fara + ta en : iak : uar · (s)k-ivaþ : (t)a uar : (h)ahal · sunudahr · untir-aþr : bi-mstafr ++ i tolfte r(r)u-taf-lu + betar · auksars-fara · han skr-if mik · amen","May it be the best of our efforts, and we write that he is a great king and under-king, the first among twelve tables; better are our efforts. He writes me well. Amen."
97,kuni lit rista runaR þisar eftR sik · kuikhan þurhkutr · risti runa þisar fots arfi,"Gunni had these runes carved in memory of himself while alive. Þorgautr, Fótr's heir, carved these runes.",en,Those who have not known the ways of death are a great cause of misfortune; whoever seeks to save oneself from its consequences is a great help; for the deeds they perform upon life and the things that come from them are a great good.,"Keep light running runes, and keep your own feet safe and secure on them.",Until light will read these runes after itself? Kuikhan thirsting! Will read these runes the feet's inheritance.,"This family of runes was cut behind me by Kuikhan the Horse-keeper, who carved these foot-legends."
98,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.,en,"We shall build a tower for our children and a great house, but we cannot bring us in this way; for the Lord of all men is not like us.","Green, blue, birch, lit up, raised, stone, after, make its skin like a bird's feather;",red and iron red light stone after thy wife mak thine sight who healden was she,Red and bright beasts raised stones against their own kin to break each other's limbs.
99,... -it : tafast : rista : runir,... had Tafeistr to carve the runes.,en,"... — ""This"": ""tastaft"" (this is what), ""rusta"" (we all are), and ""runír"" (to keep).",...it:tafas:t:rins:i:nr:runi:,...-it: swift : running : runes,cutting : measuring : breaking : runes
100,...- : kuþ-... ...-u · ...,... ... ... ...,en,> Kuþ - … - u ...,... - : kut-... ...-u · ...,...: you are ... you ...,known... ...-u · ...
1,--rþr * ris-- * kuml * þe... ... ...-aþis * o * eklanti,Þórðr raised this/these(?) monument(s) ... met his end in England.,de,"Der Runen-Tempel wurde erst spät im 3. Jahrhundert gegründet, doch viele Rassen bauten es bereits schon zu einer gewissen Strenge auf. Es ist bekannt, dass die meisten Gebäude diese Zeit hatten und bis zum Ende der Zeit ihre Funktion erliessen; nur wenige wurden erhalten, obwohl sie noch viel später als Wohnbau genutzt werden konnten.",Kumlaðis og eldli,"Nirni's Kumm, sei's nicht der Tod!",– Rost – Reif – Kummer – der… … …-tisch – oder – Ekelhaftigkeits-
2,§PA ÷ ilon ÷ (æ)(l)rikum : nonim ÷ ilon ¶ illy : þ : ilon : r : br * sabaot : zion,§PA Elon ... ... Elon ... ... Elon ... ... Sebaoth Zion §PB Elion ... Adonai lux(?) ... grammaton Sebaoth(?) Michael Gabriel §PC Rafael. §QA Elon ... ... Elon ... ... Elon ... ... Sabaoth Zion(?) §QB Elion ... Adonai lux tetragrammaton Sadai(?) Michael Gabriel §QC Rafael.,de,"Ätliche / leise | nicht | linge | pfeils | i; d: p; t: i: e. pfeil = bärde, die; der; das; der ; eine ; alle ; jeder ; jede ; die ; ein ; ein paar ; eine ganze ; ein ganzes ; ein großer ; ein großes ; ein großes ; ein großes ; ein großes ; ein großes",PA: Ilion; I: Ïlion; II: Ùlion: Ùrbr. Abi: Ìon; B: Zion,"Gehet hin mit dem Heere des Herrn! Nicht zum Heere der Verräter! Zum Herrschertum! Und: Gott, Gott und zur Rechten! Denn: Sabbat: Zion",Gott der Väter / ilon / (Ae)lrikum / Nomen / ilon // Ili / þ / ilon : r : broder * sabaot : Zion
3,[× aist]r × lit × [ra... ... ... suart×haufþa × faþur] ...,"Eistr had … raised in memory of Svarthǫfði, his father.",de,Niklaus und Eiríks (Schar) wurden durch den Tod von Ranni unterbrochen.,Aist isten raihtsaz haafþa faþur,Aislr hat Rauscha Vater,und [der...] leuchtete [das rote... ... ... schmutzhafte × das Geschlecht von Faþur] ...
4,þat ik uk (M) nona ¶ snonk=uk(t)(i)unf(i) ¶ sak a=rf hit(r)k ¶ þik,... ... ... ... ... ... ... ... ... …,de,"Es ist nicht möglich, diese Passage zu übersetzen, da es sich um altnordische Texte handelt, die über ihre Herkunft und ihre spezifischen linguistischen Besonderheiten hinausgehen.",dass ich dir (ich) nicht (M) nun ¶ schon=Uch(t)(i) un+f(1) § Sache=a:rft(1) hier¶ da ist,"Das ist der alte Mann und ein Kind, das er schlang. Und dann sagte es: „Hör auf.""",dass ich auch nicht [schweige] und sage es dir
5,[... ...lfa : faþur * sin : auk ...],"... (in memory of) Þjalfi(?), his father and ...",de,das ist der Gott auf den Berg.,"Vater: ihr Sohn, der Himmelskönig",[...] [...] lfa : faþur * sin : auk ...],"... und der Vater, sowie ..."
6,+ aslagr : pr(e)str * reit * runa=r þessa=r,Áslakr the priest wrote these runes.,de,Asgerprästreita,das Reiten,Ein Schlag: Priesters Reitrunen.,Aslagr wurde von mir geschickt; dies ist das Runenzeichen dieser Worte.
7,§A ... ¶ ... §B ... ¶ …,§A ... ... §B ... …,de,"Das ist eine alte Runen-Transliteration, die sich vermutlich an die lateinische Wortordnung oder zur Bestimmung der Zeichen in einem altnordischen Symbolkatalog erinnert (oft aus dem Bereich des Scharnass, Zeltverkleidung oder spezifischen Urkunden). Da es sich hier um einen spezifischen Buchstaben- oder Runenzusammenhang handelt und keine Kontexte fehlen, kann ich diese Transliteration nicht authentisch in ein bekanntes altnordisches Wort übersetzen.",Teil A ... Punkt ... Teil B ... Punkt...,§A ... ¶ ... §B ... ¶ …,Abschnitt A ... Ende des Abschnitts ... Abschnitt B ... Ende des Abschnitts ...
8,auþa : auk : ika * auk * erintis * þriþi * hafa * muþk-... -þ um * karua * stain ra--... itiR * suain * faþur : sin * auk * at kuþfast * bruþr * sin * han uaR : sun : auþuR,"Auða and Inga and Erindís as the third, the mother and daughters have (achieved) the feat of making and raising(?) the stone in memory of Sveinn, their father, and in memory of Guðfastr, their brother. He was Auða's son.",de,"auþa: ika, erintis þriþi hafa muþk-... -þ um karua stain ra--. --iti suain faþur; sin auk at kuþfast bruþr sin han uaR: sun auþuR",da: da: eia * da * erins * trihts * hauf * mork... -um * karus * strai * r--. ...itir * suin * fatfr *: sin * da * at kúfast * bróther * sin * han uar : sun * aþuR,auþa : auk : ika * auk * erintis * þriþi * hafa * muþk-... -þ um * karua * stain ra--... itiR * suain * faþur : sin * auk * at kuþfast * bruþr * sin * han uaR : sun : auþuR,"Aber auch der dritte Sohn hatte eine Schwester; aber sein Bruder und seine Mutter, sein Vater sowie seine Stiefschwester: er war ein Sohn des Autur."
9,stifatr : sati : stin : þani : efti(r) …,Styfjaldr(?) placed this stone in memory of ...,de,Schweigerei: Sati: Stin: Þani: Eftri ...,Stift: Sat: Stin: Þan: Eftir...,Mord: Sühne: Tötung: Herrscher: nachträglich …,Stiftung : Sättigung : Eist : Kälte : Danach (oder später) …
10,Side A ... -(æ)þ-(-)ti-us : (a)-...--... | ... : os : ræh(n)aþ : k(r)... | ...-...(l)(i)(s)l(æ)i : --ks(i) ... Side B ...þ-(-)t...i... | ...-s : ræh... | ...-(s)l(æ)i : -…,... {os} regnat Christus(?) ... regnat(?) …,de,Die Seite A ist (-1)-.ü.ß: (a). . . ; os: ræh(n)aþ; k(r).. ; ...-...(l)(i)(s)l(æ): --ks(i)...,Seite A ... -(ä)-thius: (a)-..--.| ...:os:ræhanaþ:k(r)..|......(l)(is)lsi:-ks(i)Side B ...þ-(-)-ti...| ...-s:ræh...| ...-(sl)aï:-…,Seite A ... –(a)tt–(–)tius : (a).–.–.– | … : os : rä(h)näþ : k(r) … | …–……(li)s(li): …ks(i) … Seite B …þ–t …i … | …s : ræh … | …-(s)l(i): –…,Seit A ...-(ä)-...-ius: (a)-...-.--.--| ...: Os: rä(n)+: k(r)... | ...-...(l)(i)(s)l(æ)i: --ks(i)... Seite B ...þ-(-)t...i... | ...-s: räh... | ...-(s)l(æ)i: -…
11,§A þurstin × uk × ragnfriR × þu (r)(i)stu × stin × þina × iftiR × (b)iur[n] × i krnbu,"§A Þorsteinn and Ragnfríðr, they raised this stone in memory of Bjǫrn in Granbýr, §B Kalfr's brother. Vígmundr slaughtered him. May God help his spirit and soul better than he deserved.",de,"Sohn von Sönig und Ragnfred war sein Sohn. Er reiste im Jahr 732 zum Todestag seines Vaters zu seinem Heiligen Vater, dem Helden Ragni von der Seite, um ihm seine Bitte nach einem Gebet des Heilgefühls zu machen.",Sieh dir die Fülle an; ein Krabbensaugen.,"Und du, Ragnarfriede, trinkst dein Heil mit deinem Wein?","§A Durst der und des Rauchs frei bist, du steinig das Steinige, wachse in Kraft."
12,[... uaR * tauþr × i austr*uih- ...],... died on the eastern route ...,de,"Der Uebrar ist eine Runenfigur in der altnordischen Sprache, die aus den beiden Buchstaben 'Ü' und 'E', wobei 'Ü' einen überlagerten oder verschachtelten Schrägstrich bildet. Dieser strukturelle Aufbau entspricht einem Sack oder Behälter, den sich oft mit Verzierungen verziert; in diesem Fall wird er als ein geschmücktes Behältnis oder eine spezielle Figur verwendet, die nicht direkt eine konkrete Botschaft aussagt.",Sagst du es nicht?,... und das Tier geht nach Osten ...,... und Tode in dem anderen Leben ...
13,§A (b)isi * sati : st[(n)] : þisi : iftiR : þurkut : u----þi : faþur,"§A Bisi placed this stone in memory of Þorgautr ... his father. §B And Gunna, both. Thistle, mistletoe, casket.",de,Säure von Göttern wird vom Himmel ausgezogen.,(§A) bisi sati: st[n] : þisi : iftir : þurkut : u þi : faður,"Wenn ein Mann einen Vater hat, dann ist er sein Vater; denn dies bedeutet „Vater"".","dieser Vater der Söhne: dieser und diese durchdrangen den Scheiterhaufen; der, der in dem Wasser schwimmt"
14,× orikia × auk × ikul × litu × raisa × stain × ... ...biurn × faþur sin ×,"Órœkja and Ígull had the stone raised ... ...-bjǫrn, their father.",de,"Der König Skriði war der Sohn von Fjörnin und Grettis Frau Ulla; er lebte im Norden, wohin Förrun und Ugglin kamen. Er reiste mit dem Reiter Lógrín auf der Schande von Dýnn og Hraug; die Pferde waren sehr schwer, wie bei den Riesen in der Schlacht an der Flanke des Königes Grettis (2248).","orika, oikila, okula, itala, risa, stana, ... binan, fethar sun.",Orixia Auðr Æskjálfas Hönnara Risa Stöin... Biörn Faður sinn,"Oder das Auge der Seele wird durch den Stein... gebildet, dem Vater ihres..."
15,...(a)lui : lit * kira : kubl : ifti... ... burþur : ulfs * þiR * a(u)... ... (m)iþ * ikuari : o : sirk*la(t)...,...-vé had the monument made in memory of ... Ulfr's brother. They in / to the east ... with Ingvarr in Serkland.,de,"Der Text ist ein Mix aus altnordeischer Übersetzung und Runen-Transliteration. Der Hauptinhalt wird durch die deutsche Übersetzung ersetzt, während das Rhythmusformat mit den spezifischen Zeichen (Lit, Kubl, Ifti, Burþur, Müth, Ikiari) erhalten bleibt, da sie im Kontext der altnordischen Literatur oft für spezielle Wörter oder rhythmische Stilmittel eingesetzt werden.",(d) ihm: lit. *kíra: kübl: ífi... búrðir: úlfz þíR a(u) ... (m)iþi: ikuári: o: sírklát(...).,(1) das: die * kirja: kúbla: óftu... (2) der Vater: Ulves * þeR * (a)u... (3) mit: * ikúarí: o: sirk-*la(t)...,"Er wird den Wolf essen, der sich im Ring wälzt."
16,* þurkiR : resþi : kuml : þusi : eftiR : onut : konb : faþur : sin :,"Þorgeirr raised these monuments in memory of Ônundr Moustache, his father.",de,die: das ist der<|endoftext|><|im_start|>,Turk: rest: cum: hus: oft: ont: kan: fathir: síni,Die Nordsee ist ein See im Norden meines Vaters.,"Þurkir, Resþi, Kumel, Þusir; danach Onuth, ein König von Konub, der Vater seiner..."
17,§A + tak ' hiR krist * (e)yratr * hafir * kart ' klukhera * sun ' amen,"§A Thank-you(?), Lord(?) Christ. Eyrhvatr(?) has made, son of the organist. Amen. §B Jubilant.",de,A + ta ' he R krish'thehr ' e yrat ' hafirt ' ka rit ' hkuht ' rah ' sun ' amen,S A mit den Runen: a-ah R kräis Ehrat Hafir Kalkher Sunen Amen,Und diese Ringe aus Kristall schufen und schmiedeten sie unter der Sonne.,Und der Herr Jesu Christi Glaube ließe den Stein am Kreuz fallen. Amen.
18,§A (m)a(l)(i) : es : a : s(t)ain(i) : þesu(m) : a- ...,"§A The agreement on this stone is, that ... §B half of the warping-line lie to ... §C as property and as allodial land ... ...",de,s-a-n-g u-m i e-s-u-e-m a...,s: als: stein: þessum: -,§A (m)a(l)(i) : das ist ein : d(je)s(e)r : ein - ...,§A (m)a(l)(i) : es : a : s(t)ain(i) : þesu(m) : a- ...
19,§A + esse krucem tomini fugite pa=rtes atu=erse : uicit leo * de tribu iuta ratiks ta=uit,"§A Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. §B Four letters on the forehead-plate that Aaron bore on his forehead, Jesus Christ. §C Mark, Matthew, Luke, John. §D Tetragrammaton. Alpha and Omega.",de,Schickst du zu den Sünden der Völker auf ihre eigenen Fehler zurück.,Schlage den Kreuzturm zu und vertriebe seine Bewohner aus dem Land des Sängers; dein Liel besiege die Fürsten von der Dörferfrau!,§Ei! Laßt den Kreuzweg Christi nicht mit euren Händeln aus der Sippe Jutta Ratiks zu. Ein Löwe wirds euch zureiten.,"Und das Kreuz nehmt und flieht vor den Teilen des Auferstehens: der Löwe überlebte aus dem Stamme Jutras, taufte (auf ihn)."
20,* ali : lakþi : stin : þasi : uftiR : uþu : kunu : s... ...u : harþa : kuþa,"Áli/Alli laid this stone in memory of Auða, his wife ... very good.",de,"Scheinbar der erste Versuch von dem ""Kreuzwort-Wettbewerb"" (Nachtigold), bei dem die meisten Runden verloren gehen mussten, scheint hier eine ungenaue Leseart oder ein sprachliches Spiel gewesen sein, das als Ergebnis zu interpretieren ist.",ali: lakthi: stin: þasi: uftir: úthu: kunu: sa...sa: hartha: kuch,* Ali: Lakthi stin þasi uftiR uþu kunu s... u harþa kuþa.,alles : Leichenfessel : Stein : dieser : oft : durch : Kundschaft : s... ...e : Hartheit : Kunde
21,§P [katil × risti × sten × efti sin broþur : nahhar stens su- +],"Ketill raised the stone in memory of his brother Nagr(?), Harðsteinn's son.",de,Nahhagastins su+,"Stoß von Katil aus Ristis; Stein, der seine Schwester nährt, Süsse.",§Doch der Schwager des Bruders Efts ist das Blut des Stens und er...,"Spar nicht den Stein, der ihm vom Bruder anvertraut ist."
22,...[r + kiarþi + kuml + þasi ·] -ftiR + kum... ...-a...-...[n +] ¶ ...----------…,... made these monuments in memory of Gummi(?) ... …,de,"Nur durch [k] und [s], nicht durch den Anfang der Sätze, sondern nur durch das Ende. Durch die Wörter „""m"", „n"" und „a"", sind sie zu leer; daher wird es so: ""Gestern war es nicht kalt.""","Mit dem R-Sonant zusammen mit den Vokalen [kírþi], [kumál] und [tási] gebunden an die Wurzel **ft**, gefolgt von einem zusätzlichen K-Subphonem. Eine weitere Wurzelsilbe mit [n]+ wird anschließend abgeschlossen durch das Zeichen ¶, was eine unterbrochene oder geschlagene Silbenstruktur kennzeichnet. Das Zeichen ---...-------… stellt einen langen Schlitz im Abstraktionskern dar, der auf die fortlaufende Fortsetzung des Konsonanten oder der Vokale hindeutet.","...das Herz der Sonne ist eine Lampe, die das Licht der Sterne ausstrahlt.",[...] – ftir – kun... ...-a...-...[n +] ¶ ...----------…
23,tu-iR : resþi : sta... ... unþik : bru-ur : sin :,"Tólir/Dóttir raised the stone ... Óníðingr, his/her brother.",de,tu-iR: resþi sta-; unþik: bru-ur: sin-,"Gibt NUR die deutsche Übersetzung aus. Keine Labels, Erklärungen oder zusätzlichen Text.","dieser Herrscher soll den Vorfahren geben,",Tür: Rüstung: Stand ... nicht ich: Baum: Sein:
24,iþinui ' uk ' austain ' uk ' ulfr ' uk * ol(a)[fr * litu * raisa * s]tain * iftiR hal(f)tan faþur sin,"Heðinvé and Eysteinn and Ulfr and Ólafr had the stone raised in memory of Halfdan, their father.",de,"Eines fürchtenes Kind in den Landen des Lichts und der Dunkelheit. Es wird von einem mächtigen Gott mit furchtsamer Stimme gerufen: Ein König, ein Reiner und ein Vater. Er soll die Heiligkeit des Wortes tragen und eine große Zeit führen.","In den Königreich des Königs Ithil'uk, des Vaters von Ulfer'uk der Söhne Austain, wohnen die Riesen O(l)a[fr, Litu, Raisa, Stain, Fithir] und Halftan das Haus des Vaters.","ich bin der, die mich aufrecht erhält, Ulf, dass du den [deinen] Vater siehest.","derjenige, der gegen den Osten geht (im Osten) ist ein Wolf; der (junge) Mann hat einen Streitvater genannt seinen Vater"
25,h[outi]an [* auk * asur * þair * litu *] (r)aisa * merki * þisa * at [*] (u)l[f] * faþur * sin *,"<houtian> and Ôzurr, they had these landmarks raised in memory of Ulfr, their father.",de,"Nicht nur aus der houtin in *ausür*, sondern auch aus der houtin und aus der althochdeutschen lautenschrift, die das Wort mit einem lüften bedeutet. Die houtin ist für eine harten Lücke im Lautenzeichen gebraucht.","auf [Außere, Asur, Þair, Lit]er (B)ede (N)eueres (G)ebildes [T]raufs (S)innes","(our)er [ein] Asar Vater, der unser [Liebes]merk ist.",der [auch seine] Väter [ihre] Zeichen diese auf Ulff sein Vater
