Sample_ID,Source,Reference,Target_Language,Prediction
86,· sistin · ris(þ)... ... §B ...ftiR · keRmut · mak si...,"Sigsteinn raised ... §B in memory of Geirmundr, his kinsman-by-marriage.",en,Sjastinn raised ... §B ... made ...
87,[: rakR : lakþi : stin : yfiR : þiuk : s...n : sin : s...],"Rekkr laid the stone over Þjokkr, his son ...",en,"Rakr and Laki and Þiug, they were ..."
88,þurkl × auk + kisl + -itu + rais- ... þian + iftR + faþur sn + kans- ku- hialbi ant hans,Þorkell and Gísl had this stone raised in memory of their father Gansi(?)/Knasi(?). May God help his spirit.,en,Þorkl and Kjell had this raised ... Þiann had this stone cut in memory of his father.
89,biarn · li(t) ... ...- · ul- -(o)(r)oþur · sen ·,"Bjôrn had ... ... Ulfr, his brother.",en,Bjôrn and ... ... ... ...
90,[tiarfR · raisti · stain : þinsa : at : irim : faþur : sin : kuþan :],"Djarfr raised this stone in memory of Grímr, his good father.",en,"Þórfr raised the stone in memory of Írm, his father."
91,[huitr ok| |karl ouk ulf l...u ...ris...],Hvítr and Karl and Ulfr(?) had ...,en,Hvítir and Karl and Ulfr(?) and ... ... ... ...
92,... ...arl ' uk ihulbiurn ' litu rita stono þisa ' uk| |kirua bru þisa ' at iafur faþur si... ... (h)ialbi ont hos,"... Karl and Ígulbjôrn had these stones erected and this bridge made in memory of Jôfurr, their father ... may help his spirit.",en,"... Ágar, he had the stone raised in memory of Ingjôrn, his brother, and in memory of Ingjôrn's father, he died. (H)jalbi is in the house."
93,[...-R lit ' r...] ... ...- ÷ sina ÷ k...,... had (the stone) raised/erected ... ... their/his ...,en,... raised ... his wife.
94,[as]kil : lit : rita : stin : þa[na · -f-]- : u[n]-- : faþur : [si]n [-u-]a : kuþ[an],"Áskell had this stone erected in memory of ... his father, a good husbandman.",en,"Askeland had the stone raised in memory of Gunn, his son."
95,þruntr × risti + tsin × þinsa + aftiR · þurtsin [faþ](u)r sin,"Þróndr raised this stone in memory of Þorsteinn, his father.",en,"Þruntr raised this stone in memory of Þorðr, his father."
96,fastkaiR fastlauk at sun sin litu (h)akua at nefkair,"Fastgeirr (and) Fastlaug had (the stone) cut in memory of Nefgeirr, in memory of their son.",en,"Fastgeirr and Fastlaugr and the sun in this place, and the nefkair."
97,o^not^r : a mik : a ho^no^m,Ônundr of Hornar owns me.,en,"Notredr, a good man."
98,tuki : ri(s)-- ¶ -tin : þansi : ift ¶ þurstin : sin ¶ -(r)uþur : nuk ¶ igi : sin : faþu-,"Tóki raised this stone in memory of Þorsteinn, his brother, and Ingi, his father.",en,"Tóki raised this stone in memory of Þorsteinn, his son. He had the bridge cut."
99,[× sibi × auk × irmuntr × auk × þoriR × litu × raisa × stain × iftiR × s(u)... ... ...-- (h)(a)n · to × austr × sun × kismuntaR],"Sibbi and Ernmundr and Þórir had the stone raised in memory of ... ... ... He, Gísmundr's son, died in the east.",en,"Sigbi and Írmundr and Þórr had this stone raised in memory of their father, Ógmundr's son."
100,... stin : þinsi : i--iR : un...,... this stone in memory of ...,en,... in memory of ...
1,[hualf : lit ... ufir : tar : fadur : simun ...],... had the vault [made] ... over their father Símon ...,de,"Hälfigt ... für Tar, für Fader, für Simun ..."
2,...(a)lui : lit * kira : kubl : ifti... ... burþur : ulfs * þiR * a(u)... ... (m)iþ * ikuari : o : sirk*la(t)...,...-vé had the monument made in memory of ... Ulfr's brother. They in / to the east ... with Ingvarr in Serkland.,de,"... (d)ie(?) habe ich, ich habe ... (m)ich ... (d)ie(?) ..."
3,þat ik uk (M) nona ¶ snonk=uk(t)(i)unf(i) ¶ sak a=rf hit(r)k ¶ þik,... ... ... ... ... ... ... ... ... …,de,Ich habe nicht in Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und Norðr und
4,§A nasi × auk : þair : bruþr : raistu : stain : þisa ×,"§A Nasi/Nesi and his brothers raised this stone §B in memory of Jarl, their good father, and made the bridge as thanks to God.",de,"§A Nasse und seine Brüder, die diese Steine errichtet haben."
5,[(n)...i...iukaR : auk : biorn : auk : farulfi : þiR : litu : risa : stan : aftiR * aka : faþur : sin * hat : uaR : uskul * þik : þRa *],"... and Bjǫrn and Farulfr, they had the stone raised in memory of Áki, their father. He was ...",de,...... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
6,§A ...r × ok × e...,§A ... and ... §B ...,de,§A ... ... ... ...
7,k-na : let : legia : st¶in : þensi : auk : tuki :,Ginna(?)/Gína(?) had this stone laid and (i.e. with) Tóki.,de,"Kann ich hier helfen, ich habe den Steinkopf."
8,§A (m)a(l)(i) : es : a : s(t)ain(i) : þesu(m) : a- ...,"§A The agreement on this stone is, that ... §B half of the warping-line lie to ... §C as property and as allodial land ... ...",de,§A (m)a(l)(i) es: a: s(t)ain(i) þesu(m) a- ...
9,× orikia × auk × ikul × litu × raisa × stain × ... ...biurn × faþur sin ×,"Órœkja and Ígull had the stone raised ... ...-bjǫrn, their father.",de,"Örökja und Ikel haften die Steine, ... ...biurn faþur sein."
10,...[rn :] auk * fasti : raist=u st[a]in ** at * k(i)(l)beaurn : faþ(u)r : si(n) : [buata : þo]r[*kiai]rþ[i **],"Bjǫrn and Fasti raised the stone in memory of Ketilbjǫrn(?), their father, Þorgerðr's husbandman.",de,... ... ... ... ... ... ... ... ... ... ...
11,§A ...þi---- (+) -ftir + foþur (:) sin (:) þurbio-...,§A ... in memory of his father Þorbjǫrn. §B ...,de,§A ... ... ... ... ... ... ... ... ...
12,[... uaR * tauþr × i austr*uih- ...],... died on the eastern route ...,de,... hat die Tauten in der Nordwestseite gestützt.
13,k suntahr tir brim o=k i treta=ntu rato,K (was) the Sunday[-stave] and Tyrr the prime-stave in the thirteenth row.,de,"Gott ist unser Gott, Gott ist unser Gott."
14,§A ... ¶ ... ¶ ... ¶ ...,§A ... ... ... ... §B ... ... ...,de,§A ... ... ... ...
15,[... ...lfa : faþur * sin : auk ...],"... (in memory of) Þjalfi(?), his father and ...",de,... hat faþur seinen Bruder.
16,... : [ai](f)(t)(i)(r) * (m)(u)... * (u)…,... in memory of <mu-> ...,de,... ... ... ...
17,§A ol(a)f(r) : hnaki : -... ...ra : famtan : (b)o : kan-þis... ...n(m)... ...(i)rþi : s---...,§A Ólafr the Neck ... ... fifteen estates ... ... ... ... §B all may violate Gautr(?) ...,de,§A Olfr(?) hat ... ... ... ... ... ... ...
18,[biriki ÷ birita ÷ batar ÷ ok ÷ akhi ÷ kyrþi kirkuh ÷ asur ÷ ok ÷ skuli ÷ ok ÷ þorþr ÷ ok ÷ ku=nar ÷ i siua---sta ÷],May Birita save (us). Pétr and Áki made the church. Ôzurr and Skúli and Þórðr and Gunnarr in Sigvaldstaðir.,de,Bergiki und Bergita und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und Bergi und
19,þo=rir * ræist * runa=r * þessa=r * þan * olaus*mess*o=æpþa=n ¶ ...r han * fo=r * he=r um ¶ ÷ bæþe= =ge=rþo= =no=(r)ne=r * uæl * o=k * il=la * mikla * møþe ¶ g skapaþu * þær mer,"Þórir carved these runes on the eve of Olaus-mass, when he travelled past here. The norns did both good and evil, great toil ... they created for me.",de,"Dort ist der Rieger den Runa den, den man in der Nähe hat, und er hat die Bächter, die ihn in der Nähe haben. Er hat die Welt und die Welt und die Welt. Er schaut auf die Welt."
20,+ BONDO FRISO ME FECIT | ESGERVS RØTH ME FECIT : FIERI | fuþorkhniastblmy---,"Bondo (the) Frisian made me, Esgervs Red had me made. Golden numbers.",de,"Bonnod Friso me feiet, Egesver Røth me feiet, Fieri, fuþorkhniastblmy- ..."
21,[stoþi * auk * sihtiarfr *  þorker * lit]u * ris[t]a * stin at * aistu[lf * b]roþu[r *] (s)in [sun þorkerþa],"Stóði and Sigdjarfr and Þorgerðr had the stone carved in memory of Eistulfr, their brother, Þorgerðr's son.",de,"Stoði und Sigðífr, er hat die Rüstbarkeit gebaut, und er hat die Börde gebaut."
22,þoriR × lit hakua stain at * binu fiþur sin × ketilu[i × at × b]onta sin ×,"Þórir had the stone cut in memory of Bína(?), his father; Ketilvé in memory of her husbandman.",de,Þori er/er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er er
23,+ annus * inkannacionis : domini : millesimus * ducentisimus : tris=cesimus : oktauus : erat : fakta * ak kampana : bero : s=crp*sit,Anno incarnationis Domini millesimo ducentesimo tricesimo octavo erat facta hæc campana. Bero scripsit.,de,"Dieser Mann hat die Macht, die ich habe."
24,§A kruhs markus (s)u--io-(b) ¶ --(u)(h)(s) (m)aþ(e)(u)s -- §B (k)ruhs iohanæs ¶ (k)ruhs (l)(u)k-- --,"§A Crux, Marcus, ... crux, Matthæus, ... §B crux, Johannes, crux, Lucas …",de,§A Kristi Markus (s)u--io--b ... ... ... ... §B Kristi Johanes ... ... ...
25,[* iskirun * harþiR * totiR * lit * risti * runiR * ati * sik * sialfan * hn * uil * austr * fara * auk * ut * til * iursala * fair * risti * runiR *],"Ingirún(?) Harðr's daughter, had the runes carved in memory of herself. She wants to travel to the east and abroad to Jerusalem. Fótr(?) carved the runes.",de,"... die Roste und die Runen, sie sollen sieh, sie soll sieh, sie soll sieh."
26,[isifara · auk · k... ... ...-r · sin · hon tu i krikum],<isifara> and ... ... their … He died in Greece.,de,... ... ... ... ... ... ... ... ...
27,biarfaa : statu : sis[o] stain ¶ hakbiarn :  bruþr  ¶ ruþuisl : austain : imuar ¶ is af[a] : st[ai]n[a] : stata : aft : raf[a] ¶ su[þ] furi : ru[f]staini : kuamu ¶ uit i aifur : uifil ¶ [ba]uþ [u=m],"Hegbjǫrn raised this stone glaring (and his) brothers Hróðvísl, Eysteinn, <-muar>, who have had stones raised in memory of Hrafn south of Rofstein. They came far and wide in Eifor. Vífill bade ...",de,"Biarfaa hat diese Steine, die er in Ruggveisland und imuar, auf den Stein, die er in Ruggveisland und imuar, auf den Stein, die er in Ruggveisland und imuar, auf den Stein, die er in Ruggveisland und imuar."
28,[turi : sati : stin : þonsi : aftir : askut : bruþur : sin : iar : barþi : iattin : þikra : i : iatustun : auk : brunia : fik : harþa : kuþan *],"Dýri(?) placed this stone in memory of Ásgautr, his brother, who lived(?) in Jǫtunstaðir(?) and Brúni, a very good valiant man.(?)",de,"Torei und Steini, ich habe das Brautgeflecht gebrochen. Ich habe das Gesicht und das Gesicht gebrochen."
29,...[(n) '] uk ' ihul ' uk ' gisl ' uitr ' li... …,... and Ígull and Gísl (and) Eyndr(?) had ...,de,"... ich habe hier die Gisl und die Uiter, die ich hier habe."
30,--rþr * ris-- * kuml * þe... ... ...-aþis * o * eklanti,Þórðr raised this/these(?) monument(s) ... met his end in England.,de,--rþr ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
31,§P [katil × risti × sten × efti sin broþur : nahhar stens su- +],"Ketill raised the stone in memory of his brother Nagr(?), Harðsteinn's son.",de,"§P Kätil riste den Stein, den ich mir naheher stehn soll."
32,[+ butulfr : ... : ...s...r : butuiþr : ok : iakaupr : ok : olafr : ...],Bótulfr ... ... Bótviðr and Jakobr and Ólafr ...,de,Bettulfr und ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
33,× fastbiurn × lit rita × stain × iftiR mintil × faþurR sin,"Fastbjǫrn had the stone erected in memory of Myndill, his father.",de,"Fastbøyrn hat die Relikte gestan, wenn er seine Mönchstein."
34,§A pa=l æi(n)(a)=(r)so=n : ræist : run(a)=(r) (:) þæs...,§A Páll Einarr's son carved these runes §B ... this stone in memory of ...,de,§A Paugnäs(?) ... ... ... ...
35,* ali : lakþi : stin : þasi : uftiR : uþu : kunu : s... ...u : harþa : kuþa,"Áli/Alli laid this stone in memory of Auða, his wife ... very good.",de,"Ali hat das Stein in die Hände gegeben, und er hat es für seine Schwester gemacht."
36,--ti- + karþi × br(u) + þasi + a-tiR + hemkil + auk * siba sunu × sina,"<--ti-> made this bridge in memory of Heimkell and Sibbi, her sons.",de,"--ti- und Karðir und Þesi, ich habe Hemkil und Sibi, ich habe sie."
37,Side A : tuki : r-... : br--... Side B ...-s-…,Tōki …,de,"Säide ich, ich ..."
38,§A ... ¶ ... §B ... ¶ …,§A ... ... §B ... …,de,§A ... §B ...
39,+ aslagr : pr(e)str * reit * runa=r þessa=r,Áslakr the priest wrote these runes.,de,"Herr Strægr, ich habe die Runa gestrichen."
40,h[outi]an [* auk * asur * þair * litu *] (r)aisa * merki * þisa * at [*] (u)l[f] * faþur * sin *,"<houtian> and Ôzurr, they had these landmarks raised in memory of Ulfr, their father.",de,"Hauptmann und Äusser und Äusser, ich habe diesen und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Äusser und den Ä"
41,§A -uki : os^a : b : r^aisþ^a : u^ar : aft : -^t-a^þ : -(i)- : nafis §B : þo : is : o(s)(i) : --- : þ^aþa^n : (a)(u)- -u^a : staina : þisa : -----,§A ... §B …,de,§A — ... ... ... ... §B ... ... ... ... ...
42,tu-iR : resþi : sta... ... unþik : bru-ur : sin :,"Tólir/Dóttir raised the stone ... Óníðingr, his/her brother.",de,... steht ... und Brøkur hat.
43,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,de,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
44,× þorkis[l] -uk × þorstin auk × uibiarn × auk × olifr × --tu × raisa × stin × eftiR × þorbiarn × faþur × sin,"Þorgísl and Þorsteinn and Vébjǫrn and Óleifr had the stone raised in memory of Þorbjǫrn, their father.",de,Þorkísul(?) und Þorsteinn und Übiarn und Olfr(?) und Ræsa(?) und Þorbjôrn und Fætur(?) und Stein(?).
45,[kalukR lit × risa × stn × þina × iftR × siba · boanta sin × koes...--... faþur · s¶in han fal · s... ¶ keþfrekr],"<kalukR> had this stone raised in memory of Sibbi, her husbandman ... her father. He fell south(?) …",de,"[Kalukr] hat diesen Stein gestützt, er soll seine Frau, sein Bruder, sein Vater, sein Sohn, sein Bruder, sein Herr sein."
46,§A + tak ' hiR krist * (e)yratr * hafir * kart ' klukhera * sun ' amen,"§A Thank-you(?), Lord(?) Christ. Eyrhvatr(?) has made, son of the organist. Amen. §B Jubilant.",de,"§A Tak die Krist, die Erbräuter, die Hart, die Klughera, den Gott."
47,§A d=um * das : ka=rus * e=ris : da=re : des--,"§A As long as you give, you will be held dear; if you abandon giving, §B you will be despised.",de,"§A den Kaelr und die Reis, da er den Rest des Landes."
48,[× aist]r × lit × [ra... ... ... suart×haufþa × faþur] ...,"Eistr had … raised in memory of Svarthǫfði, his father.",de,[...] hat ... seine Frau ...
49,bosi : tlhi ¶ kirki ¶ bosi : ta=lh`þ´i sten ¶ til skatma ¶ kirkiu,Bósi shaped the church. Bósi shaped the stone for the church of the inhabitants of Skatelöv.,de,Bosei trägt die Kirche.
50,baki : fulk(s)tin þiR : raisþu : stin : þan:si : at : faþur : sin kitilhafþa þ=r=u=t=a=R= =þ=i=a=k=n uit,"Banki/Baggi (and) Folksteinn, they raised this stone in memory of their father Ketilhǫfði, a Þegn of strength. ...",de,"Baki und Fulkind, sie trugen die Steine, denn sie hatten die Fäulnis vom Gott."
51,riuiþr : risiþ : sti : þasi : auftiR : kirm : su : sin : miuk : kuþan : trik :,"<riuiþr> raised this stone in memory of Grímr, his son, a very good valiant man.",de,"Rieutr und Risiðr, sie haben das Kornstück und die Steine."
52,auþa : auk : ika * auk * erintis * þriþi * hafa * muþk-... -þ um * karua * stain ra--... itiR * suain * faþur : sin * auk * at kuþfast * bruþr * sin * han uaR : sun : auþuR,"Auða and Inga and Erindís as the third, the mother and daughters have (achieved) the feat of making and raising(?) the stone in memory of Sveinn, their father, and in memory of Guðfastr, their brother. He was Auða's son.",de,"Gott und ich, ich habe dieses Unglaubliche nicht. Ich habe das Unglaubliche nicht. Ich habe das Unglaubliche nicht."
53,...--- × lagþu × s... …,... laid the stone ...,de,... ... ... ...
54,a=u=æ ÷ maria ÷ iæssus + {ANNO : DOMINI : MO : CCCO : XLO : QUINTO : DECIMO : SEPTIMO : KLAS : AUGUSTI : CURATO : ECCLEIE : DOMINO : OLAUO : TUTORIBUS : ECCLEIE : GEDSTAUO : ET : NICHOLAO : HAQUINUS : FUDIT : HANC : CAMPANAM : MAGNO : REGE : SUECIE : DNO : SIGGONE : EPISCOPI : SCARENSI} : +,Ave Maria Jesus. {Anno domini millesimo trecentesimo sexagesimo quinto decimo septimo kalendas augusti curato ecclesiae domino Olauo tutoribus ecclesiae Gedstauo et Nicholao Haquinus fudit hanc campanam Magno rege Sueciae domino Siggone episcopo Scarensi.},de,Mara ist mein Vater. Ich habe den Herrn und den Mann und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott und den Gott
55,osfriþr : risþi : stin : þonsi : eftiR : osgiR : hrþa : kuþan : trek : buta * sin,"Ásfríðr raised this stone in memory of Ásgeirr, her husbandman, a very good valiant man.",de,Dort ist er gestorben.
56,§A + esse krucem tomini fugite pa=rtes atu=erse : uicit leo * de tribu iuta ratiks ta=uit,"§A Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. §B Four letters on the forehead-plate that Aaron bore on his forehead, Jesus Christ. §C Mark, Matthew, Luke, John. §D Tetragrammaton. Alpha and Omega.",de,"§A Christus, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott, Gottmännlicher Gott,"
57,§A f... ¶ ...ku-... ¶ ...-kas--... ¶ ...-kh--...,§A ... ... ... ... §B ...,de,§A ... ... ... ... ... ...
58,Side A ...(k)hniistmlR Side B n,[fuþor]khn[ia]s[tb]lmR …,de,Gegen die Steine.
59,iþinui ' uk ' austain ' uk ' ulfr ' uk * ol(a)[fr * litu * raisa * s]tain * iftiR hal(f)tan faþur sin,"Heðinvé and Eysteinn and Ulfr and Ólafr had the stone raised in memory of Halfdan, their father.",de,"Dann und Ulfr und Olfr, ich habe die Steine gelegt, Halftann, ich habe die Fäuste."
60,...-ta : bain : uas * (i)-(u)--...,This bone was ...,de,...-ta: ich habe das (Bann) gemacht.
61,§A (b)isi * sati : st[(n)] : þisi : iftiR : þurkut : u----þi : faþur,"§A Bisi placed this stone in memory of Þorgautr ... his father. §B And Gunna, both. Thistle, mistletoe, casket.",de,§A (b)isi (ste)rt (ste)rt (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste) (ste
62,× ilturi × lit × raisa × stin × eftiR × sukiR × faþur × sin × kuþ × hialbi * ant * ahns ×,"<ilturi> had the stone raised in memory of Siggeirr/Seygeirr, his father. May God help his spirit.",de,"Götter und Riese, ich habe das Geschlecht, das ich gebildet habe, nicht gebildet."
63,§A · anut · ... ...-n · sin · uk ifti(R) ... ...þa ·,ENG: Ônundr ... his son and in memory of ... ... his => §A Ônundr ... his son and in memory of ... ... §B ... …,de,§A ... ... ... ... ...
64,+ kuþluk * lit ... ... ... ...a × sun * sin * auk * at * sik * sialfa * han * to * a lank*barþa*l--ti *,"Guðlaug had the stones raised in memory of Holmi, her son, and in memory of herself. He died in Lombardy.",de,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
